destination,month,count
KDFW,2021-10-01T00:00:00.000+02:00,26378
KORD,2021-10-01T00:00:00.000+02:00,32550
VIDP,2021-10-01T00:00:00.000+02:00,14930
OMDB,2021-10-01T00:00:00.000+02:00,10526
KLAX,2021-10-01T00:00:00.000+02:00,21512
KLAS,2021-10-01T00:00:00.000+02:00,21964
EDDF,2021-10-01T00:00:00.000+02:00,13795
EGLL,2021-10-01T00:00:00.000+02:00,11603
KJFK,2021-10-01T00:00:00.000+02:00,13482
WMKK,2021-10-01T00:00:00.000+02:00,2241
LFPG,2021-10-01T00:00:00.000+02:00,12073
LEMD,2021-10-01T00:00:00.000+02:00,10991
KDEN,2021-10-01T00:00:00.000+02:00,23730
KSFO,2021-10-01T00:00:00.000+02:00,12780
YSSY,2021-10-01T00:00:00.000+02:00,3057
KMIA,2021-10-01T00:00:00.000+02:00,14541
UUEE,2021-10-01T00:00:00.000+02:00,11062
VABB,2021-10-01T00:00:00.000+02:00,919
EHAM,2021-10-01T00:00:00.000+02:00,15183
KPHX,2021-10-01T00:00:00.000+02:00,18186
EDDM,2021-10-01T00:00:00.000+02:00,9662
KSEA,2021-10-01T00:00:00.000+02:00,16210
LTBA,2021-10-01T00:00:00.000+02:00,4351
KBOS,2021-10-01T00:00:00.000+02:00,13780
RPLL,2021-10-01T00:00:00.000+02:00,4383
LIRF,2021-10-01T00:00:00.000+02:00,5688
SBGR,2021-10-01T00:00:00.000+02:00,367
YMML,2021-10-01T00:00:00.000+02:00,1625
CYYZ,2021-10-01T00:00:00.000+02:00,10898
RCTP,2021-10-01T00:00:00.000+02:00,3108
VOBL,2021-10-01T00:00:00.000+02:00,6949
KLGA,2021-10-01T00:00:00.000+02:00,9928
KIAH,2021-10-01T00:00:00.000+02:00,182
KFLL,2021-10-01T00:00:00.000+02:00,6177
KMSP,2021-10-01T00:00:00.000+02:00,13496
OTHH,2021-10-01T00:00:00.000+02:00,7256
LSZH,2021-10-01T00:00:00.000+02:00,7469
YBBN,2021-10-01T00:00:00.000+02:00,4319
LTFJ,2021-10-01T00:00:00.000+02:00,8745
ESSA,2021-10-01T00:00:00.000+02:00,5054
MMMX,2021-10-01T00:00:00.000+02:00,2
KPHL,2021-10-01T00:00:00.000+02:00,11260
KEWR,2021-10-01T00:00:00.000+02:00,13307
EKCH,2021-10-01T00:00:00.000+02:00,6970
RJBB,2021-10-01T00:00:00.000+02:00,2953
LOWW,2021-10-01T00:00:00.000+02:00,7773
KHHR,2021-10-01T00:00:00.000+02:00,2914
EGKK,2021-10-01T00:00:00.000+02:00,1293
VHHH,2021-10-01T00:00:00.000+02:00,2815
LFPO,2021-10-01T00:00:00.000+02:00,6007
KSAN,2021-10-01T00:00:00.000+02:00,7635
VOMM,2021-10-01T00:00:00.000+02:00,4141
KIAD,2021-10-01T00:00:00.000+02:00,12665
KDTW,2021-10-01T00:00:00.000+02:00,9874
KCLT,2021-10-01T00:00:00.000+02:00,21669
EDDT,2021-10-01T00:00:00.000+02:00,50
RJTK,2021-10-01T00:00:00.000+02:00,254
KDCA,2021-10-01T00:00:00.000+02:00,8606
KDAL,2021-10-01T00:00:00.000+02:00,9440
SBSP,2021-10-01T00:00:00.000+02:00,3482
UUDD,2021-10-01T00:00:00.000+02:00,6619
LIMC,2021-10-01T00:00:00.000+02:00,5961
RJTT,2021-10-01T00:00:00.000+02:00,11599
EDDL,2021-10-01T00:00:00.000+02:00,5396
LSGG,2021-10-01T00:00:00.000+02:00,5155
LPPT,2021-10-01T00:00:00.000+02:00,4902
KSJC,2021-10-01T00:00:00.000+02:00,5997
UUWW,2021-10-01T00:00:00.000+02:00,6394
EIDW,2021-10-01T00:00:00.000+02:00,5967
EGSS,2021-10-01T00:00:00.000+02:00,5978
KOAK,2021-10-01T00:00:00.000+02:00,6432
EBMB,2021-10-01T00:00:00.000+02:00,4380
YPPH,2021-10-01T00:00:00.000+02:00,4254
CYVR,2021-10-01T00:00:00.000+02:00,7215
EFHK,2021-10-01T00:00:00.000+02:00,3826
KLDJ,2021-10-01T00:00:00.000+02:00,3281
KSTL,2021-10-01T00:00:00.000+02:00,6154
KSNA,2021-10-01T00:00:00.000+02:00,8584
KRDU,2021-10-01T00:00:00.000+02:00,7458
KBWI,2021-10-01T00:00:00.000+02:00,9056
RJFF,2021-10-01T00:00:00.000+02:00,3146
LEBL,2021-10-01T00:00:00.000+02:00,9649
EDDH,2021-10-01T00:00:00.000+02:00,4151
EGCC,2021-10-01T00:00:00.000+02:00,4542
KIND,2021-10-01T00:00:00.000+02:00,8008
OMAA,2021-10-01T00:00:00.000+02:00,1617
SBBR,2021-10-01T00:00:00.000+02:00,3130
LIML,2021-10-01T00:00:00.000+02:00,3824
KTEB,2021-10-01T00:00:00.000+02:00,7433
EPWA,2021-10-01T00:00:00.000+02:00,4940
KHOU,2021-10-01T00:00:00.000+02:00,7623
EGGW,2021-10-01T00:00:00.000+02:00,4165
KMDW,2021-10-01T00:00:00.000+02:00,8950
OBBI,2021-10-01T00:00:00.000+02:00,2035
KPDX,2021-10-01T00:00:00.000+02:00,4752
PANC,2021-10-01T00:00:00.000+02:00,8698
LKPR,2021-10-01T00:00:00.000+02:00,3283
KAPA,2021-10-01T00:00:00.000+02:00,6387
