destination,month,count
KDFW,2020-11-01T00:00:00.000+01:00,19902
KORD,2020-11-01T00:00:00.000+01:00,19167
VIDP,2020-11-01T00:00:00.000+01:00,10013
OMDB,2020-11-01T00:00:00.000+01:00,7496
KLAX,2020-11-01T00:00:00.000+01:00,14019
KLAS,2020-11-01T00:00:00.000+01:00,12437
EDDF,2020-11-01T00:00:00.000+01:00,6115
EGLL,2020-11-01T00:00:00.000+01:00,5764
KJFK,2020-11-01T00:00:00.000+01:00,7536
WMKK,2020-11-01T00:00:00.000+01:00,1695
LFPG,2020-11-01T00:00:00.000+01:00,5512
LEMD,2020-11-01T00:00:00.000+01:00,4511
KDEN,2020-11-01T00:00:00.000+01:00,17094
KSFO,2020-11-01T00:00:00.000+01:00,8392
YSSY,2020-11-01T00:00:00.000+01:00,4285
KMIA,2020-11-01T00:00:00.000+01:00,10734
UUEE,2020-11-01T00:00:00.000+01:00,6105
VABB,2020-11-01T00:00:00.000+01:00,6291
EHAM,2020-11-01T00:00:00.000+01:00,6793
KPHX,2020-11-01T00:00:00.000+01:00,13378
EDDM,2020-11-01T00:00:00.000+01:00,2881
KSEA,2020-11-01T00:00:00.000+01:00,12640
LTBA,2020-11-01T00:00:00.000+01:00,1488
KBOS,2020-11-01T00:00:00.000+01:00,7130
RPLL,2020-11-01T00:00:00.000+01:00,3155
LIRF,2020-11-01T00:00:00.000+01:00,2540
SBGR,2020-11-01T00:00:00.000+01:00,6272
YMML,2020-11-01T00:00:00.000+01:00,1589
CYYZ,2020-11-01T00:00:00.000+01:00,4531
RCTP,2020-11-01T00:00:00.000+01:00,4057
VOBL,2020-11-01T00:00:00.000+01:00,5993
KLGA,2020-11-01T00:00:00.000+01:00,3870
KIAH,2020-11-01T00:00:00.000+01:00,120
KFLL,2020-11-01T00:00:00.000+01:00,7954
KMSP,2020-11-01T00:00:00.000+01:00,9519
OTHH,2020-11-01T00:00:00.000+01:00,5377
LSZH,2020-11-01T00:00:00.000+01:00,2490
YBBN,2020-11-01T00:00:00.000+01:00,3961
LTFJ,2020-11-01T00:00:00.000+01:00,6064
ESSA,2020-11-01T00:00:00.000+01:00,2449
MMMX,2020-11-01T00:00:00.000+01:00,3712
KPHL,2020-11-01T00:00:00.000+01:00,8610
KEWR,2020-11-01T00:00:00.000+01:00,8833
EKCH,2020-11-01T00:00:00.000+01:00,2321
RJBB,2020-11-01T00:00:00.000+01:00,2398
LOWW,2020-11-01T00:00:00.000+01:00,2055
KHHR,2020-11-01T00:00:00.000+01:00,2246
EGKK,2020-11-01T00:00:00.000+01:00,515
VHHH,2020-11-01T00:00:00.000+01:00,6361
LFPO,2020-11-01T00:00:00.000+01:00,1809
KSAN,2020-11-01T00:00:00.000+01:00,4967
VOMM,2020-11-01T00:00:00.000+01:00,3392
KIAD,2020-11-01T00:00:00.000+01:00,6124
NZAA,2020-11-01T00:00:00.000+01:00,3265
KDTW,2020-11-01T00:00:00.000+01:00,9825
KCLT,2020-11-01T00:00:00.000+01:00,15604
EDDT,2020-11-01T00:00:00.000+01:00,299
RJTK,2020-11-01T00:00:00.000+01:00,822
KDCA,2020-11-01T00:00:00.000+01:00,3588
KDAL,2020-11-01T00:00:00.000+01:00,7103
SBSP,2020-11-01T00:00:00.000+01:00,2803
UUDD,2020-11-01T00:00:00.000+01:00,3991
LIMC,2020-11-01T00:00:00.000+01:00,2820
RJTT,2020-11-01T00:00:00.000+01:00,10343
EDDL,2020-11-01T00:00:00.000+01:00,1555
LSGG,2020-11-01T00:00:00.000+01:00,1499
LPPT,2020-11-01T00:00:00.000+01:00,2151
KSJC,2020-11-01T00:00:00.000+01:00,3837
UUWW,2020-11-01T00:00:00.000+01:00,4833
EIDW,2020-11-01T00:00:00.000+01:00,1791
EGSS,2020-11-01T00:00:00.000+01:00,1877
KOAK,2020-11-01T00:00:00.000+01:00,4997
EBMB,2020-11-01T00:00:00.000+01:00,937
YPPH,2020-11-01T00:00:00.000+01:00,3728
CYVR,2020-11-01T00:00:00.000+01:00,3616
EFHK,2020-11-01T00:00:00.000+01:00,1797
KLDJ,2020-11-01T00:00:00.000+01:00,642
KSTL,2020-11-01T00:00:00.000+01:00,4440
KSNA,2020-11-01T00:00:00.000+01:00,5857
KRDU,2020-11-01T00:00:00.000+01:00,4460
KBWI,2020-11-01T00:00:00.000+01:00,6990
RJFF,2020-11-01T00:00:00.000+01:00,3166
LEBL,2020-11-01T00:00:00.000+01:00,1370
EDDH,2020-11-01T00:00:00.000+01:00,1262
EGCC,2020-11-01T00:00:00.000+01:00,1230
KIND,2020-11-01T00:00:00.000+01:00,2025
OMAA,2020-11-01T00:00:00.000+01:00,1229
SBBR,2020-11-01T00:00:00.000+01:00,2817
LIML,2020-11-01T00:00:00.000+01:00,1000
KTEB,2020-11-01T00:00:00.000+01:00,3362
EPWA,2020-11-01T00:00:00.000+01:00,2029
KHOU,2020-11-01T00:00:00.000+01:00,1545
EGGW,2020-11-01T00:00:00.000+01:00,1059
KMDW,2020-11-01T00:00:00.000+01:00,5933
OBBI,2020-11-01T00:00:00.000+01:00,1241
KPDX,2020-11-01T00:00:00.000+01:00,5650
PANC,2020-11-01T00:00:00.000+01:00,6344
LKPR,2020-11-01T00:00:00.000+01:00,947
KAPA,2020-11-01T00:00:00.000+01:00,5114
