destination,month,count
KDFW,2020-06-01T00:00:00.000+02:00,14252
KORD,2020-06-01T00:00:00.000+02:00,11522
VIDP,2020-06-01T00:00:00.000+02:00,5739
OMDB,2020-06-01T00:00:00.000+02:00,3537
KLAX,2020-06-01T00:00:00.000+02:00,8198
KLAS,2020-06-01T00:00:00.000+02:00,8846
EDDF,2020-06-01T00:00:00.000+02:00,4508
EGLL,2020-06-01T00:00:00.000+02:00,3731
KJFK,2020-06-01T00:00:00.000+02:00,4145
WMKK,2020-06-01T00:00:00.000+02:00,1447
LFPG,2020-06-01T00:00:00.000+02:00,4695
LEMD,2020-06-01T00:00:00.000+02:00,1640
KDEN,2020-06-01T00:00:00.000+02:00,2808
KSFO,2020-06-01T00:00:00.000+02:00,5563
YSSY,2020-06-01T00:00:00.000+02:00,2609
KMIA,2020-06-01T00:00:00.000+02:00,6242
UUEE,2020-06-01T00:00:00.000+02:00,4034
VABB,2020-06-01T00:00:00.000+02:00,2149
EHAM,2020-06-01T00:00:00.000+02:00,3863
KPHX,2020-06-01T00:00:00.000+02:00,8869
EDDM,2020-06-01T00:00:00.000+02:00,2101
KSEA,2020-06-01T00:00:00.000+02:00,8917
LTBA,2020-06-01T00:00:00.000+02:00,1310
KBOS,2020-06-01T00:00:00.000+02:00,5096
RPLL,2020-06-01T00:00:00.000+02:00,1922
LIRF,2020-06-01T00:00:00.000+02:00,1746
SBGR,2020-06-01T00:00:00.000+02:00,1913
YMML,2020-06-01T00:00:00.000+02:00,1479
CYYZ,2020-06-01T00:00:00.000+02:00,3499
RCTP,2020-06-01T00:00:00.000+02:00,3385
VOBL,2020-06-01T00:00:00.000+02:00,2327
KLGA,2020-06-01T00:00:00.000+02:00,2231
KIAH,2020-06-01T00:00:00.000+02:00,84
KFLL,2020-06-01T00:00:00.000+02:00,4234
KMSP,2020-06-01T00:00:00.000+02:00,3508
OTHH,2020-06-01T00:00:00.000+02:00,3141
LSZH,2020-06-01T00:00:00.000+02:00,2225
YBBN,2020-06-01T00:00:00.000+02:00,2563
LTFJ,2020-06-01T00:00:00.000+02:00,2213
ESSA,2020-06-01T00:00:00.000+02:00,1238
KPHL,2020-06-01T00:00:00.000+02:00,5600
KEWR,2020-06-01T00:00:00.000+02:00,3615
EKCH,2020-06-01T00:00:00.000+02:00,1632
RJBB,2020-06-01T00:00:00.000+02:00,1574
LOWW,2020-06-01T00:00:00.000+02:00,1612
KHHR,2020-06-01T00:00:00.000+02:00,2795
EGKK,2020-06-01T00:00:00.000+02:00,207
WIII,2020-06-01T00:00:00.000+02:00,1120
VHHH,2020-06-01T00:00:00.000+02:00,5289
LFPO,2020-06-01T00:00:00.000+02:00,222
KSAN,2020-06-01T00:00:00.000+02:00,3705
VOMM,2020-06-01T00:00:00.000+02:00,1289
KIAD,2020-06-01T00:00:00.000+02:00,4265
NZAA,2020-06-01T00:00:00.000+02:00,2426
KDTW,2020-06-01T00:00:00.000+02:00,4067
KCLT,2020-06-01T00:00:00.000+02:00,10876
EDDT,2020-06-01T00:00:00.000+02:00,841
RJTK,2020-06-01T00:00:00.000+02:00,508
KDCA,2020-06-01T00:00:00.000+02:00,3703
KDAL,2020-06-01T00:00:00.000+02:00,6012
SBSP,2020-06-01T00:00:00.000+02:00,792
UUDD,2020-06-01T00:00:00.000+02:00,3438
LIMC,2020-06-01T00:00:00.000+02:00,2087
RJTT,2020-06-01T00:00:00.000+02:00,3706
EDDL,2020-06-01T00:00:00.000+02:00,1339
LSGG,2020-06-01T00:00:00.000+02:00,1369
LPPT,2020-06-01T00:00:00.000+02:00,809
KSJC,2020-06-01T00:00:00.000+02:00,3393
UUWW,2020-06-01T00:00:00.000+02:00,2499
EIDW,2020-06-01T00:00:00.000+02:00,1251
EGSS,2020-06-01T00:00:00.000+02:00,1087
KOAK,2020-06-01T00:00:00.000+02:00,4290
EBMB,2020-06-01T00:00:00.000+02:00,329
YPPH,2020-06-01T00:00:00.000+02:00,2921
CYVR,2020-06-01T00:00:00.000+02:00,2754
EFHK,2020-06-01T00:00:00.000+02:00,1277
KLDJ,2020-06-01T00:00:00.000+02:00,548
KSTL,2020-06-01T00:00:00.000+02:00,3812
KSNA,2020-06-01T00:00:00.000+02:00,5630
KRDU,2020-06-01T00:00:00.000+02:00,3393
KBWI,2020-06-01T00:00:00.000+02:00,5957
RJFF,2020-06-01T00:00:00.000+02:00,1672
LEBL,2020-06-01T00:00:00.000+02:00,1123
EDDH,2020-06-01T00:00:00.000+02:00,1198
EGCC,2020-06-01T00:00:00.000+02:00,465
KIND,2020-06-01T00:00:00.000+02:00,5086
OMAA,2020-06-01T00:00:00.000+02:00,790
SBBR,2020-06-01T00:00:00.000+02:00,716
LIML,2020-06-01T00:00:00.000+02:00,516
KTEB,2020-06-01T00:00:00.000+02:00,2372
EPWA,2020-06-01T00:00:00.000+02:00,1074
KHOU,2020-06-01T00:00:00.000+02:00,3253
EGGW,2020-06-01T00:00:00.000+02:00,911
KMDW,2020-06-01T00:00:00.000+02:00,5959
OBBI,2020-06-01T00:00:00.000+02:00,949
KPDX,2020-06-01T00:00:00.000+02:00,3282
PANC,2020-06-01T00:00:00.000+02:00,8011
LKPR,2020-06-01T00:00:00.000+02:00,886
KAPA,2020-06-01T00:00:00.000+02:00,5837
