index,destination,month,count
0,KDFW,2019-09-01,24835
1,KORD,2019-09-01,29129
2,VIDP,2019-09-01,15639
3,OMDB,2019-09-01,15215
4,KLAX,2019-09-01,22049
5,KLAS,2019-09-01,20054
6,EDDF,2019-09-01,18557
7,EGLL,2019-09-01,17880
8,KJFK,2019-09-01,16581
9,WMKK,2019-09-01,15656
10,LFPG,2019-09-01,19198
11,LEMD,2019-09-01,16203
12,KDEN,2019-09-01,6082
13,KSFO,2019-09-01,14439
14,YSSY,2019-09-01,13648
15,KMIA,2019-09-01,5764
16,UUEE,2019-09-01,14614
17,VABB,2019-09-01,11432
18,EHAM,2019-09-01,16020
19,KPHX,2019-09-01,13303
20,EDDM,2019-09-01,16171
21,KSEA,2019-09-01,16306
22,LTBA,2019-09-01,539
23,KBOS,2019-09-01,15739
24,RPLL,2019-09-01,7210
25,LIRF,2019-09-01,10779
26,SBGR,2019-09-01,7482
27,YMML,2019-09-01,9641
28,CYYZ,2019-09-01,12598
29,RCTP,2019-09-01,9333
30,VOBL,2019-09-01,7832
31,KLGA,2019-09-01,13200
32,KIAH,2019-09-01,5025
33,KFLL,2019-09-01,6301
34,KMSP,2019-09-01,14388
35,OTHH,2019-09-01,8961
36,LSZH,2019-09-01,9890
37,YBBN,2019-09-01,8671
38,LTFJ,2019-09-01,9625
39,ESSA,2019-09-01,9395
41,KPHL,2019-09-01,13877
42,KEWR,2019-09-01,11410
43,EKCH,2019-09-01,10138
44,RJBB,2019-09-01,7039
45,LOWW,2019-09-01,10350
46,KHHR,2019-09-01,3966
47,EGKK,2019-09-01,10503
49,VHHH,2019-09-01,15436
50,LFPO,2019-09-01,6507
51,KSAN,2019-09-01,8500
52,VOMM,2019-09-01,5897
53,KIAD,2019-09-01,10326
54,NZAA,2019-09-01,6389
55,KDTW,2019-09-01,6571
56,KCLT,2019-09-01,7033
57,EDDT,2019-09-01,7800
58,RJTK,2019-09-01,3880
59,KDCA,2019-09-01,10331
60,KDAL,2019-09-01,8172
61,SBSP,2019-09-01,5436
62,UUDD,2019-09-01,7955
63,LIMC,2019-09-01,6603
64,RJTT,2019-09-01,6265
65,EDDL,2019-09-01,8210
66,LSGG,2019-09-01,6403
67,LPPT,2019-09-01,6563
68,KSJC,2019-09-01,7116
69,UUWW,2019-09-01,7351
70,EIDW,2019-09-01,9738
71,EGSS,2019-09-01,8130
72,KOAK,2019-09-01,6992
73,EBMB,2019-09-01,4237
74,YPPH,2019-09-01,5219
75,CYVR,2019-09-01,7173
76,EFHK,2019-09-01,7024
77,KLDJ,2019-09-01,6683
78,KSTL,2019-09-01,7038
79,KSNA,2019-09-01,6744
80,KRDU,2019-09-01,7057
81,KBWI,2019-09-01,7428
82,RJFF,2019-09-01,4661
83,LEBL,2019-09-01,9575
84,EDDH,2019-09-01,5903
85,EGCC,2019-09-01,7424
86,KIND,2019-09-01,6801
87,OMAA,2019-09-01,3489
88,SBBR,2019-09-01,3185
89,LIML,2019-09-01,58
90,KTEB,2019-09-01,6118
91,EPWA,2019-09-01,5292
92,KHOU,2019-09-01,5594
93,EGGW,2019-09-01,5799
94,KMDW,2019-09-01,8421
95,OBBI,2019-09-01,3527
96,KPDX,2019-09-01,7358
97,PANC,2019-09-01,6790
98,LKPR,2019-09-01,353
99,KAPA,2019-09-01,5239
