index,destination,month,count
0,KDFW,2019-02-01,19765
1,KORD,2019-02-01,21499
2,VIDP,2019-02-01,15706
3,OMDB,2019-02-01,15519
4,KLAX,2019-02-01,11181
5,KLAS,2019-02-01,14717
6,EDDF,2019-02-01,15821
7,EGLL,2019-02-01,17355
8,KJFK,2019-02-01,14227
9,WMKK,2019-02-01,14484
10,LFPG,2019-02-01,15273
11,LEMD,2019-02-01,13547
12,KDEN,2019-02-01,14308
13,KSFO,2019-02-01,13561
14,YSSY,2019-02-01,13270
15,KMIA,2019-02-01,10135
16,UUEE,2019-02-01,12404
17,VABB,2019-02-01,10505
18,EHAM,2019-02-01,12141
19,KPHX,2019-02-01,11544
20,EDDM,2019-02-01,11953
21,KSEA,2019-02-01,10915
22,LTBA,2019-02-01,9446
23,KBOS,2019-02-01,10931
24,RPLL,2019-02-01,7478
25,LIRF,2019-02-01,10317
26,SBGR,2019-02-01,9362
27,YMML,2019-02-01,9388
28,CYYZ,2019-02-01,9146
29,RCTP,2019-02-01,7246
30,VOBL,2019-02-01,8125
31,KLGA,2019-02-01,9488
32,KIAH,2019-02-01,6951
33,KFLL,2019-02-01,7197
34,KMSP,2019-02-01,9307
35,OTHH,2019-02-01,8306
36,LSZH,2019-02-01,8079
37,YBBN,2019-02-01,8093
38,LTFJ,2019-02-01,8187
39,ESSA,2019-02-01,7890
40,MMMX,2019-02-01,112
41,KPHL,2019-02-01,9022
42,KEWR,2019-02-01,7618
43,EKCH,2019-02-01,8138
44,RJBB,2019-02-01,7167
45,LOWW,2019-02-01,7577
46,KHHR,2019-02-01,11040
47,EGKK,2019-02-01,9237
48,WIII,2019-02-01,10068
49,VHHH,2019-02-01,11535
50,LFPO,2019-02-01,6466
51,KSAN,2019-02-01,6699
52,VOMM,2019-02-01,6069
53,KIAD,2019-02-01,6883
54,NZAA,2019-02-01,6501
55,KDTW,2019-02-01,4512
56,KCLT,2019-02-01,7800
57,EDDT,2019-02-01,6889
58,RJTK,2019-02-01,4605
59,KDCA,2019-02-01,6736
60,KDAL,2019-02-01,6403
61,SBSP,2019-02-01,5805
62,UUDD,2019-02-01,5631
63,LIMC,2019-02-01,6345
64,RJTT,2019-02-01,4756
65,EDDL,2019-02-01,6164
66,LSGG,2019-02-01,6296
67,LPPT,2019-02-01,5310
68,KSJC,2019-02-01,5520
69,UUWW,2019-02-01,5068
70,EIDW,2019-02-01,6101
71,EGSS,2019-02-01,6556
72,KOAK,2019-02-01,5181
73,EBMB,2019-02-01,5719
74,YPPH,2019-02-01,4949
75,CYVR,2019-02-01,4991
76,EFHK,2019-02-01,5115
77,KLDJ,2019-02-01,5105
78,KSTL,2019-02-01,4797
79,KSNA,2019-02-01,4709
80,KRDU,2019-02-01,4819
81,KBWI,2019-02-01,4350
82,RJFF,2019-02-01,4318
83,LEBL,2019-02-01,6360
84,EDDH,2019-02-01,4633
85,EGCC,2019-02-01,5061
86,KIND,2019-02-01,4518
87,OMAA,2019-02-01,1588
88,SBBR,2019-02-01,3882
89,LIML,2019-02-01,3854
90,KTEB,2019-02-01,4191
91,EPWA,2019-02-01,3760
92,KHOU,2019-02-01,3933
93,EGGW,2019-02-01,4479
94,KMDW,2019-02-01,4853
95,OBBI,2019-02-01,2926
96,KPDX,2019-02-01,3852
97,PANC,2019-02-01,3510
98,LKPR,2019-02-01,3580
99,KAPA,2019-02-01,3318
