destination,month,count
KDFW,2021-01-01T00:00:00.000+01:00,21871
KORD,2021-01-01T00:00:00.000+01:00,17382
VIDP,2021-01-01T00:00:00.000+01:00,13162
OMDB,2021-01-01T00:00:00.000+01:00,8096
KLAX,2021-01-01T00:00:00.000+01:00,14011
KLAS,2021-01-01T00:00:00.000+01:00,10792
EDDF,2021-01-01T00:00:00.000+01:00,6355
EGLL,2021-01-01T00:00:00.000+01:00,4945
KJFK,2021-01-01T00:00:00.000+01:00,7658
WMKK,2021-01-01T00:00:00.000+01:00,2380
LFPG,2021-01-01T00:00:00.000+01:00,6647
LEMD,2021-01-01T00:00:00.000+01:00,4789
KDEN,2021-01-01T00:00:00.000+01:00,16864
KSFO,2021-01-01T00:00:00.000+01:00,7779
YSSY,2021-01-01T00:00:00.000+01:00,3820
KMIA,2021-01-01T00:00:00.000+01:00,12457
UUEE,2021-01-01T00:00:00.000+01:00,5904
VABB,2021-01-01T00:00:00.000+01:00,7597
EHAM,2021-01-01T00:00:00.000+01:00,6965
KPHX,2021-01-01T00:00:00.000+01:00,13865
EDDM,2021-01-01T00:00:00.000+01:00,2217
KSEA,2021-01-01T00:00:00.000+01:00,11988
LTBA,2021-01-01T00:00:00.000+01:00,1312
KBOS,2021-01-01T00:00:00.000+01:00,6324
RPLL,2021-01-01T00:00:00.000+01:00,3838
LIRF,2021-01-01T00:00:00.000+01:00,2335
SBGR,2021-01-01T00:00:00.000+01:00,7554
YMML,2021-01-01T00:00:00.000+01:00,3740
CYYZ,2021-01-01T00:00:00.000+01:00,4487
RCTP,2021-01-01T00:00:00.000+01:00,3982
VOBL,2021-01-01T00:00:00.000+01:00,7164
KLGA,2021-01-01T00:00:00.000+01:00,3607
KIAH,2021-01-01T00:00:00.000+01:00,62
KFLL,2021-01-01T00:00:00.000+01:00,8720
KMSP,2021-01-01T00:00:00.000+01:00,10195
OTHH,2021-01-01T00:00:00.000+01:00,5865
LSZH,2021-01-01T00:00:00.000+01:00,2501
YBBN,2021-01-01T00:00:00.000+01:00,4726
LTFJ,2021-01-01T00:00:00.000+01:00,5107
ESSA,2021-01-01T00:00:00.000+01:00,1976
MMMX,2021-01-01T00:00:00.000+01:00,8014
KPHL,2021-01-01T00:00:00.000+01:00,8173
KEWR,2021-01-01T00:00:00.000+01:00,8049
EKCH,2021-01-01T00:00:00.000+01:00,1925
RJBB,2021-01-01T00:00:00.000+01:00,2134
LOWW,2021-01-01T00:00:00.000+01:00,1785
KHHR,2021-01-01T00:00:00.000+01:00,2078
EGKK,2021-01-01T00:00:00.000+01:00,683
WIII,2021-01-01T00:00:00.000+01:00,3505
VHHH,2021-01-01T00:00:00.000+01:00,5665
LFPO,2021-01-01T00:00:00.000+01:00,3419
KSAN,2021-01-01T00:00:00.000+01:00,4536
VOMM,2021-01-01T00:00:00.000+01:00,4368
KIAD,2021-01-01T00:00:00.000+01:00,7008
NZAA,2021-01-01T00:00:00.000+01:00,3573
KDTW,2021-01-01T00:00:00.000+01:00,9770
KCLT,2021-01-01T00:00:00.000+01:00,16312
EDDT,2021-01-01T00:00:00.000+01:00,23
RJTK,2021-01-01T00:00:00.000+01:00,53
KDCA,2021-01-01T00:00:00.000+01:00,3371
KDAL,2021-01-01T00:00:00.000+01:00,6495
SBSP,2021-01-01T00:00:00.000+01:00,3738
UUDD,2021-01-01T00:00:00.000+01:00,4922
LIMC,2021-01-01T00:00:00.000+01:00,2482
RJTT,2021-01-01T00:00:00.000+01:00,8904
EDDL,2021-01-01T00:00:00.000+01:00,1288
LSGG,2021-01-01T00:00:00.000+01:00,2024
LPPT,2021-01-01T00:00:00.000+01:00,2101
KSJC,2021-01-01T00:00:00.000+01:00,3584
UUWW,2021-01-01T00:00:00.000+01:00,4736
EIDW,2021-01-01T00:00:00.000+01:00,1875
EGSS,2021-01-01T00:00:00.000+01:00,1587
KOAK,2021-01-01T00:00:00.000+01:00,4714
EBMB,2021-01-01T00:00:00.000+01:00,800
YPPH,2021-01-01T00:00:00.000+01:00,3993
CYVR,2021-01-01T00:00:00.000+01:00,3438
EFHK,2021-01-01T00:00:00.000+01:00,1612
KLDJ,2021-01-01T00:00:00.000+01:00,473
KSTL,2021-01-01T00:00:00.000+01:00,4179
KSNA,2021-01-01T00:00:00.000+01:00,5590
KRDU,2021-01-01T00:00:00.000+01:00,4492
KBWI,2021-01-01T00:00:00.000+01:00,6670
LEBL,2021-01-01T00:00:00.000+01:00,1148
EDDH,2021-01-01T00:00:00.000+01:00,1007
EGCC,2021-01-01T00:00:00.000+01:00,969
KIND,2021-01-01T00:00:00.000+01:00,5089
OMAA,2021-01-01T00:00:00.000+01:00,1610
SBBR,2021-01-01T00:00:00.000+01:00,3322
LIML,2021-01-01T00:00:00.000+01:00,1197
KTEB,2021-01-01T00:00:00.000+01:00,3709
EPWA,2021-01-01T00:00:00.000+01:00,2003
KHOU,2021-01-01T00:00:00.000+01:00,2043
EGGW,2021-01-01T00:00:00.000+01:00,1058
KMDW,2021-01-01T00:00:00.000+01:00,5224
OBBI,2021-01-01T00:00:00.000+01:00,1411
KPDX,2021-01-01T00:00:00.000+01:00,5419
PANC,2021-01-01T00:00:00.000+01:00,3572
LKPR,2021-01-01T00:00:00.000+01:00,1021
KAPA,2021-01-01T00:00:00.000+01:00,5193
