index,destination,month,count
0,KDFW,2019-06-01,24563
1,KORD,2019-06-01,15851
2,VIDP,2019-06-01,15402
3,OMDB,2019-06-01,15754
4,KLAX,2019-06-01,10164
5,KLAS,2019-06-01,18945
6,EDDF,2019-06-01,18081
7,EGLL,2019-06-01,19626
8,KJFK,2019-06-01,17416
9,WMKK,2019-06-01,16323
10,LFPG,2019-06-01,19125
11,LEMD,2019-06-01,13827
12,KDEN,2019-06-01,4814
13,KSFO,2019-06-01,18410
14,YSSY,2019-06-01,13582
15,KMIA,2019-06-01,5
16,UUEE,2019-06-01,15416
17,VABB,2019-06-01,11408
18,EHAM,2019-06-01,15661
19,KPHX,2019-06-01,14175
20,EDDM,2019-06-01,15130
21,KSEA,2019-06-01,15564
22,LTBA,2019-06-01,1065
23,KBOS,2019-06-01,9074
24,RPLL,2019-06-01,6246
25,LIRF,2019-06-01,13663
26,SBGR,2019-06-01,7949
27,YMML,2019-06-01,9591
28,CYYZ,2019-06-01,12544
29,RCTP,2019-06-01,7729
30,VOBL,2019-06-01,8693
31,KLGA,2019-06-01,12668
32,KIAH,2019-06-01,1794
34,KMSP,2019-06-01,14657
35,OTHH,2019-06-01,9099
36,LSZH,2019-06-01,10290
37,YBBN,2019-06-01,8514
38,LTFJ,2019-06-01,10146
39,ESSA,2019-06-01,9420
40,MMMX,2019-06-01,9586
41,KPHL,2019-06-01,13728
42,KEWR,2019-06-01,11877
43,EKCH,2019-06-01,10403
44,RJBB,2019-06-01,8149
45,LOWW,2019-06-01,10705
46,KHHR,2019-06-01,16853
47,EGKK,2019-06-01,11233
49,VHHH,2019-06-01,17026
50,LFPO,2019-06-01,5052
51,KSAN,2019-06-01,8786
52,VOMM,2019-06-01,6164
53,KIAD,2019-06-01,9898
54,NZAA,2019-06-01,6085
56,KCLT,2019-06-01,11735
57,EDDT,2019-06-01,7813
58,RJTK,2019-06-01,1890
59,KDCA,2019-06-01,8672
60,KDAL,2019-06-01,7758
61,SBSP,2019-06-01,5624
62,UUDD,2019-06-01,8334
63,LIMC,2019-06-01,7161
64,RJTT,2019-06-01,2945
65,EDDL,2019-06-01,8031
66,LSGG,2019-06-01,6766
67,LPPT,2019-06-01,6269
68,KSJC,2019-06-01,7308
69,UUWW,2019-06-01,7197
70,EIDW,2019-06-01,8668
71,EGSS,2019-06-01,8535
72,KOAK,2019-06-01,6994
73,EBMB,2019-06-01,6556
74,YPPH,2019-06-01,5227
75,CYVR,2019-06-01,6751
76,EFHK,2019-06-01,6290
77,KLDJ,2019-06-01,5332
78,KSTL,2019-06-01,370
79,KSNA,2019-06-01,6116
80,KRDU,2019-06-01,6548
81,KBWI,2019-06-01,8787
82,RJFF,2019-06-01,4875
83,LEBL,2019-06-01,14271
84,EDDH,2019-06-01,5826
85,EGCC,2019-06-01,7457
86,KIND,2019-06-01,6074
87,OMAA,2019-06-01,1265
88,SBBR,2019-06-01,3361
89,LIML,2019-06-01,4794
90,KTEB,2019-06-01,5812
91,EPWA,2019-06-01,5194
92,KHOU,2019-06-01,6203
93,EGGW,2019-06-01,5951
94,KMDW,2019-06-01,8020
95,OBBI,2019-06-01,3698
96,KPDX,2019-06-01,5529
97,PANC,2019-06-01,7890
98,LKPR,2019-06-01,1077
99,KAPA,2019-06-01,4842
