destination,month,count
KDFW,2021-02-01T00:00:00.000+01:00,16833
KORD,2021-02-01T00:00:00.000+01:00,16415
VIDP,2021-02-01T00:00:00.000+01:00,12677
OMDB,2021-02-01T00:00:00.000+01:00,6206
KLAX,2021-02-01T00:00:00.000+01:00,12427
KLAS,2021-02-01T00:00:00.000+01:00,10565
EDDF,2021-02-01T00:00:00.000+01:00,5385
EGLL,2021-02-01T00:00:00.000+01:00,4023
KJFK,2021-02-01T00:00:00.000+01:00,6779
WMKK,2021-02-01T00:00:00.000+01:00,1771
LFPG,2021-02-01T00:00:00.000+01:00,5792
LEMD,2021-02-01T00:00:00.000+01:00,4573
KDEN,2021-02-01T00:00:00.000+01:00,15749
KSFO,2021-02-01T00:00:00.000+01:00,6970
YSSY,2021-02-01T00:00:00.000+01:00,5209
KMIA,2021-02-01T00:00:00.000+01:00,11997
UUEE,2021-02-01T00:00:00.000+01:00,5418
VABB,2021-02-01T00:00:00.000+01:00,7529
EHAM,2021-02-01T00:00:00.000+01:00,5224
KPHX,2021-02-01T00:00:00.000+01:00,12618
EDDM,2021-02-01T00:00:00.000+01:00,1549
KSEA,2021-02-01T00:00:00.000+01:00,11290
LTBA,2021-02-01T00:00:00.000+01:00,1261
KBOS,2021-02-01T00:00:00.000+01:00,5837
RPLL,2021-02-01T00:00:00.000+01:00,3348
LIRF,2021-02-01T00:00:00.000+01:00,2055
SBGR,2021-02-01T00:00:00.000+01:00,5922
YMML,2021-02-01T00:00:00.000+01:00,3067
CYYZ,2021-02-01T00:00:00.000+01:00,3114
RCTP,2021-02-01T00:00:00.000+01:00,3301
VOBL,2021-02-01T00:00:00.000+01:00,6540
KLGA,2021-02-01T00:00:00.000+01:00,2895
KIAH,2021-02-01T00:00:00.000+01:00,70
KFLL,2021-02-01T00:00:00.000+01:00,8716
KMSP,2021-02-01T00:00:00.000+01:00,9349
OTHH,2021-02-01T00:00:00.000+01:00,5698
LSZH,2021-02-01T00:00:00.000+01:00,1924
YBBN,2021-02-01T00:00:00.000+01:00,4617
LTFJ,2021-02-01T00:00:00.000+01:00,4811
ESSA,2021-02-01T00:00:00.000+01:00,1670
MMMX,2021-02-01T00:00:00.000+01:00,5757
KPHL,2021-02-01T00:00:00.000+01:00,7141
KEWR,2021-02-01T00:00:00.000+01:00,6588
EKCH,2021-02-01T00:00:00.000+01:00,1295
RJBB,2021-02-01T00:00:00.000+01:00,1515
LOWW,2021-02-01T00:00:00.000+01:00,1510
KHHR,2021-02-01T00:00:00.000+01:00,1921
EGKK,2021-02-01T00:00:00.000+01:00,262
WIII,2021-02-01T00:00:00.000+01:00,2030
VHHH,2021-02-01T00:00:00.000+01:00,4310
LFPO,2021-02-01T00:00:00.000+01:00,2249
KSAN,2021-02-01T00:00:00.000+01:00,3998
VOMM,2021-02-01T00:00:00.000+01:00,3830
KIAD,2021-02-01T00:00:00.000+01:00,5994
NZAA,2021-02-01T00:00:00.000+01:00,1177
KDTW,2021-02-01T00:00:00.000+01:00,8650
KCLT,2021-02-01T00:00:00.000+01:00,14918
EDDT,2021-02-01T00:00:00.000+01:00,28
RJTK,2021-02-01T00:00:00.000+01:00,55
KDCA,2021-02-01T00:00:00.000+01:00,2855
KDAL,2021-02-01T00:00:00.000+01:00,5588
SBSP,2021-02-01T00:00:00.000+01:00,2867
UUDD,2021-02-01T00:00:00.000+01:00,4189
LIMC,2021-02-01T00:00:00.000+01:00,2278
RJTT,2021-02-01T00:00:00.000+01:00,5973
EDDL,2021-02-01T00:00:00.000+01:00,952
LSGG,2021-02-01T00:00:00.000+01:00,1576
LPPT,2021-02-01T00:00:00.000+01:00,1086
KSJC,2021-02-01T00:00:00.000+01:00,3353
UUWW,2021-02-01T00:00:00.000+01:00,4193
EIDW,2021-02-01T00:00:00.000+01:00,1258
EGSS,2021-02-01T00:00:00.000+01:00,1099
KOAK,2021-02-01T00:00:00.000+01:00,4417
EBMB,2021-02-01T00:00:00.000+01:00,627
YPPH,2021-02-01T00:00:00.000+01:00,3662
CYVR,2021-02-01T00:00:00.000+01:00,2730
EFHK,2021-02-01T00:00:00.000+01:00,1512
KLDJ,2021-02-01T00:00:00.000+01:00,761
KSTL,2021-02-01T00:00:00.000+01:00,3457
KSNA,2021-02-01T00:00:00.000+01:00,5549
KRDU,2021-02-01T00:00:00.000+01:00,4127
KBWI,2021-02-01T00:00:00.000+01:00,5491
LEBL,2021-02-01T00:00:00.000+01:00,1791
EDDH,2021-02-01T00:00:00.000+01:00,800
EGCC,2021-02-01T00:00:00.000+01:00,647
KIND,2021-02-01T00:00:00.000+01:00,4797
OMAA,2021-02-01T00:00:00.000+01:00,949
SBBR,2021-02-01T00:00:00.000+01:00,2664
LIML,2021-02-01T00:00:00.000+01:00,1187
KTEB,2021-02-01T00:00:00.000+01:00,3340
EPWA,2021-02-01T00:00:00.000+01:00,1474
KHOU,2021-02-01T00:00:00.000+01:00,2329
EGGW,2021-02-01T00:00:00.000+01:00,843
KMDW,2021-02-01T00:00:00.000+01:00,4498
OBBI,2021-02-01T00:00:00.000+01:00,1227
KPDX,2021-02-01T00:00:00.000+01:00,4416
PANC,2021-02-01T00:00:00.000+01:00,2540
LKPR,2021-02-01T00:00:00.000+01:00,912
KAPA,2021-02-01T00:00:00.000+01:00,4655
