destination,month,count
KDFW,2020-12-01T00:00:00.000+01:00,21954
KORD,2020-12-01T00:00:00.000+01:00,19376
VIDP,2020-12-01T00:00:00.000+01:00,11941
OMDB,2020-12-01T00:00:00.000+01:00,8590
KLAX,2020-12-01T00:00:00.000+01:00,14466
KLAS,2020-12-01T00:00:00.000+01:00,11591
EDDF,2020-12-01T00:00:00.000+01:00,6534
EGLL,2020-12-01T00:00:00.000+01:00,6382
KJFK,2020-12-01T00:00:00.000+01:00,8332
WMKK,2020-12-01T00:00:00.000+01:00,2871
LFPG,2020-12-01T00:00:00.000+01:00,6563
LEMD,2020-12-01T00:00:00.000+01:00,5189
KDEN,2020-12-01T00:00:00.000+01:00,18024
KSFO,2020-12-01T00:00:00.000+01:00,8521
YSSY,2020-12-01T00:00:00.000+01:00,6073
KMIA,2020-12-01T00:00:00.000+01:00,12666
UUEE,2020-12-01T00:00:00.000+01:00,5790
VABB,2020-12-01T00:00:00.000+01:00,7355
EHAM,2020-12-01T00:00:00.000+01:00,7455
KPHX,2020-12-01T00:00:00.000+01:00,14290
EDDM,2020-12-01T00:00:00.000+01:00,2563
KSEA,2020-12-01T00:00:00.000+01:00,12943
LTBA,2020-12-01T00:00:00.000+01:00,1352
KBOS,2020-12-01T00:00:00.000+01:00,7233
RPLL,2020-12-01T00:00:00.000+01:00,3912
LIRF,2020-12-01T00:00:00.000+01:00,2638
SBGR,2020-12-01T00:00:00.000+01:00,7475
YMML,2020-12-01T00:00:00.000+01:00,4185
CYYZ,2020-12-01T00:00:00.000+01:00,5284
RCTP,2020-12-01T00:00:00.000+01:00,4239
VOBL,2020-12-01T00:00:00.000+01:00,6894
KLGA,2020-12-01T00:00:00.000+01:00,4133
KIAH,2020-12-01T00:00:00.000+01:00,124
KFLL,2020-12-01T00:00:00.000+01:00,9019
KMSP,2020-12-01T00:00:00.000+01:00,10900
OTHH,2020-12-01T00:00:00.000+01:00,5744
LSZH,2020-12-01T00:00:00.000+01:00,2914
YBBN,2020-12-01T00:00:00.000+01:00,5600
LTFJ,2020-12-01T00:00:00.000+01:00,4767
ESSA,2020-12-01T00:00:00.000+01:00,2252
MMMX,2020-12-01T00:00:00.000+01:00,8868
KPHL,2020-12-01T00:00:00.000+01:00,9178
KEWR,2020-12-01T00:00:00.000+01:00,9478
EKCH,2020-12-01T00:00:00.000+01:00,2298
RJBB,2020-12-01T00:00:00.000+01:00,2644
LOWW,2020-12-01T00:00:00.000+01:00,2064
KHHR,2020-12-01T00:00:00.000+01:00,2651
EGKK,2020-12-01T00:00:00.000+01:00,982
WIII,2020-12-01T00:00:00.000+01:00,705
VHHH,2020-12-01T00:00:00.000+01:00,6378
LFPO,2020-12-01T00:00:00.000+01:00,3080
KSAN,2020-12-01T00:00:00.000+01:00,5062
VOMM,2020-12-01T00:00:00.000+01:00,4023
KIAD,2020-12-01T00:00:00.000+01:00,7452
NZAA,2020-12-01T00:00:00.000+01:00,3863
KDTW,2020-12-01T00:00:00.000+01:00,10298
KCLT,2020-12-01T00:00:00.000+01:00,16776
EDDT,2020-12-01T00:00:00.000+01:00,40
RJTK,2020-12-01T00:00:00.000+01:00,2171
KDCA,2020-12-01T00:00:00.000+01:00,3437
KDAL,2020-12-01T00:00:00.000+01:00,6822
SBSP,2020-12-01T00:00:00.000+01:00,3411
UUDD,2020-12-01T00:00:00.000+01:00,4640
LIMC,2020-12-01T00:00:00.000+01:00,2650
RJTT,2020-12-01T00:00:00.000+01:00,10605
EDDL,2020-12-01T00:00:00.000+01:00,1553
LSGG,2020-12-01T00:00:00.000+01:00,2178
LPPT,2020-12-01T00:00:00.000+01:00,2548
KSJC,2020-12-01T00:00:00.000+01:00,3676
UUWW,2020-12-01T00:00:00.000+01:00,5153
EIDW,2020-12-01T00:00:00.000+01:00,1965
EGSS,2020-12-01T00:00:00.000+01:00,1929
KOAK,2020-12-01T00:00:00.000+01:00,5415
EBMB,2020-12-01T00:00:00.000+01:00,1145
YPPH,2020-12-01T00:00:00.000+01:00,4416
CYVR,2020-12-01T00:00:00.000+01:00,4010
EFHK,2020-12-01T00:00:00.000+01:00,1552
KLDJ,2020-12-01T00:00:00.000+01:00,456
KSTL,2020-12-01T00:00:00.000+01:00,4432
KSNA,2020-12-01T00:00:00.000+01:00,5814
KRDU,2020-12-01T00:00:00.000+01:00,4758
KBWI,2020-12-01T00:00:00.000+01:00,7036
RJFF,2020-12-01T00:00:00.000+01:00,2544
LEBL,2020-12-01T00:00:00.000+01:00,1641
EDDH,2020-12-01T00:00:00.000+01:00,1279
EGCC,2020-12-01T00:00:00.000+01:00,1465
KIND,2020-12-01T00:00:00.000+01:00,5114
OMAA,2020-12-01T00:00:00.000+01:00,1750
SBBR,2020-12-01T00:00:00.000+01:00,3317
LIML,2020-12-01T00:00:00.000+01:00,1358
KTEB,2020-12-01T00:00:00.000+01:00,3755
EPWA,2020-12-01T00:00:00.000+01:00,2135
KHOU,2020-12-01T00:00:00.000+01:00,2672
EGGW,2020-12-01T00:00:00.000+01:00,1652
KMDW,2020-12-01T00:00:00.000+01:00,5624
OBBI,2020-12-01T00:00:00.000+01:00,1413
KPDX,2020-12-01T00:00:00.000+01:00,6319
PANC,2020-12-01T00:00:00.000+01:00,5874
LKPR,2020-12-01T00:00:00.000+01:00,1172
KAPA,2020-12-01T00:00:00.000+01:00,5213
