destination,month,count
KDFW,2020-05-01T00:00:00.000+02:00,13368
KORD,2020-05-01T00:00:00.000+02:00,10900
VIDP,2020-05-01T00:00:00.000+02:00,1862
OMDB,2020-05-01T00:00:00.000+02:00,2945
KLAX,2020-05-01T00:00:00.000+02:00,6748
KLAS,2020-05-01T00:00:00.000+02:00,5340
EDDF,2020-05-01T00:00:00.000+02:00,3790
EGLL,2020-05-01T00:00:00.000+02:00,3389
KJFK,2020-05-01T00:00:00.000+02:00,2983
WMKK,2020-05-01T00:00:00.000+02:00,1281
LFPG,2020-05-01T00:00:00.000+02:00,2819
LEMD,2020-05-01T00:00:00.000+02:00,997
KDEN,2020-05-01T00:00:00.000+02:00,3351
KSFO,2020-05-01T00:00:00.000+02:00,4310
YSSY,2020-05-01T00:00:00.000+02:00,2280
KMIA,2020-05-01T00:00:00.000+02:00,4345
UUEE,2020-05-01T00:00:00.000+02:00,2592
VABB,2020-05-01T00:00:00.000+02:00,948
EHAM,2020-05-01T00:00:00.000+02:00,2889
KPHX,2020-05-01T00:00:00.000+02:00,7075
EDDM,2020-05-01T00:00:00.000+02:00,914
KSEA,2020-05-01T00:00:00.000+02:00,6109
LTBA,2020-05-01T00:00:00.000+02:00,1446
KBOS,2020-05-01T00:00:00.000+02:00,3601
RPLL,2020-05-01T00:00:00.000+02:00,1115
LIRF,2020-05-01T00:00:00.000+02:00,1277
SBGR,2020-05-01T00:00:00.000+02:00,1570
YMML,2020-05-01T00:00:00.000+02:00,1244
CYYZ,2020-05-01T00:00:00.000+02:00,2643
RCTP,2020-05-01T00:00:00.000+02:00,3431
VOBL,2020-05-01T00:00:00.000+02:00,767
KLGA,2020-05-01T00:00:00.000+02:00,774
KIAH,2020-05-01T00:00:00.000+02:00,3141
KFLL,2020-05-01T00:00:00.000+02:00,2297
KMSP,2020-05-01T00:00:00.000+02:00,2720
OTHH,2020-05-01T00:00:00.000+02:00,2933
LSZH,2020-05-01T00:00:00.000+02:00,1138
YBBN,2020-05-01T00:00:00.000+02:00,2149
LTFJ,2020-05-01T00:00:00.000+02:00,82
ESSA,2020-05-01T00:00:00.000+02:00,957
KPHL,2020-05-01T00:00:00.000+02:00,5037
KEWR,2020-05-01T00:00:00.000+02:00,2215
EKCH,2020-05-01T00:00:00.000+02:00,773
RJBB,2020-05-01T00:00:00.000+02:00,1616
LOWW,2020-05-01T00:00:00.000+02:00,787
KHHR,2020-05-01T00:00:00.000+02:00,2263
EGKK,2020-05-01T00:00:00.000+02:00,113
WIII,2020-05-01T00:00:00.000+02:00,667
VHHH,2020-05-01T00:00:00.000+02:00,5914
LFPO,2020-05-01T00:00:00.000+02:00,49
KSAN,2020-05-01T00:00:00.000+02:00,2656
VOMM,2020-05-01T00:00:00.000+02:00,528
KIAD,2020-05-01T00:00:00.000+02:00,3819
NZAA,2020-05-01T00:00:00.000+02:00,1338
KDTW,2020-05-01T00:00:00.000+02:00,3129
KCLT,2020-05-01T00:00:00.000+02:00,6040
EDDT,2020-05-01T00:00:00.000+02:00,358
RJTK,2020-05-01T00:00:00.000+02:00,341
KDCA,2020-05-01T00:00:00.000+02:00,2010
KDAL,2020-05-01T00:00:00.000+02:00,4301
SBSP,2020-05-01T00:00:00.000+02:00,455
UUDD,2020-05-01T00:00:00.000+02:00,1390
LIMC,2020-05-01T00:00:00.000+02:00,1306
RJTT,2020-05-01T00:00:00.000+02:00,1928
EDDL,2020-05-01T00:00:00.000+02:00,666
LSGG,2020-05-01T00:00:00.000+02:00,697
LPPT,2020-05-01T00:00:00.000+02:00,505
KSJC,2020-05-01T00:00:00.000+02:00,2187
UUWW,2020-05-01T00:00:00.000+02:00,997
EIDW,2020-05-01T00:00:00.000+02:00,1088
EGSS,2020-05-01T00:00:00.000+02:00,864
KOAK,2020-05-01T00:00:00.000+02:00,3247
EBMB,2020-05-01T00:00:00.000+02:00,224
YPPH,2020-05-01T00:00:00.000+02:00,2538
CYVR,2020-05-01T00:00:00.000+02:00,2005
EFHK,2020-05-01T00:00:00.000+02:00,959
KLDJ,2020-05-01T00:00:00.000+02:00,335
KSTL,2020-05-01T00:00:00.000+02:00,2854
KSNA,2020-05-01T00:00:00.000+02:00,4495
KRDU,2020-05-01T00:00:00.000+02:00,2616
KBWI,2020-05-01T00:00:00.000+02:00,4466
RJFF,2020-05-01T00:00:00.000+02:00,976
LEBL,2020-05-01T00:00:00.000+02:00,720
EDDH,2020-05-01T00:00:00.000+02:00,585
EGCC,2020-05-01T00:00:00.000+02:00,288
KIND,2020-05-01T00:00:00.000+02:00,2729
OMAA,2020-05-01T00:00:00.000+02:00,435
SBBR,2020-05-01T00:00:00.000+02:00,453
LIML,2020-05-01T00:00:00.000+02:00,170
KTEB,2020-05-01T00:00:00.000+02:00,1568
EPWA,2020-05-01T00:00:00.000+02:00,451
KHOU,2020-05-01T00:00:00.000+02:00,2411
EGGW,2020-05-01T00:00:00.000+02:00,617
KMDW,2020-05-01T00:00:00.000+02:00,3995
OBBI,2020-05-01T00:00:00.000+02:00,786
KPDX,2020-05-01T00:00:00.000+02:00,2599
PANC,2020-05-01T00:00:00.000+02:00,6903
LKPR,2020-05-01T00:00:00.000+02:00,532
KAPA,2020-05-01T00:00:00.000+02:00,4987
