index,destination,month,count
0,KDFW,2020-01-01,27534
1,KORD,2020-01-01,34480
2,VIDP,2020-01-01,17498
3,OMDB,2020-01-01,16049
4,KLAX,2020-01-01,23659
5,KLAS,2020-01-01,21195
6,EDDF,2020-01-01,15904
7,EGLL,2020-01-01,18340
8,KJFK,2020-01-01,17653
9,WMKK,2020-01-01,16726
10,LFPG,2020-01-01,16889
11,LEMD,2020-01-01,12903
12,KDEN,2020-01-01,11105
13,KSFO,2020-01-01,17824
14,YSSY,2020-01-01,13671
15,KMIA,2020-01-01,17154
16,UUEE,2020-01-01,14282
17,VABB,2020-01-01,12051
18,EHAM,2020-01-01,13554
19,KPHX,2020-01-01,19219
20,EDDM,2020-01-01,13614
21,KSEA,2020-01-01,16670
22,LTBA,2020-01-01,639
23,KBOS,2020-01-01,15927
24,RPLL,2020-01-01,9846
25,LIRF,2020-01-01,10246
26,SBGR,2020-01-01,8800
27,YMML,2020-01-01,10174
28,CYYZ,2020-01-01,15972
29,RCTP,2020-01-01,10976
30,VOBL,2020-01-01,9438
31,KLGA,2020-01-01,14975
32,KIAH,2020-01-01,17626
33,KFLL,2020-01-01,11993
34,KMSP,2020-01-01,12582
35,OTHH,2020-01-01,9590
36,LSZH,2020-01-01,8846
37,YBBN,2020-01-01,8697
38,LTFJ,2020-01-01,9204
39,ESSA,2020-01-01,7346
41,KPHL,2020-01-01,14567
42,KEWR,2020-01-01,18962
43,EKCH,2020-01-01,8413
44,RJBB,2020-01-01,7402
45,LOWW,2020-01-01,8855
46,KHHR,2020-01-01,5295
47,EGKK,2020-01-01,8428
49,VHHH,2020-01-01,15811
50,LFPO,2020-01-01,6586
51,KSAN,2020-01-01,9062
52,VOMM,2020-01-01,6706
53,KIAD,2020-01-01,11012
54,NZAA,2020-01-01,6618
55,KDTW,2020-01-01,11622
56,KCLT,2020-01-01,10333
57,EDDT,2020-01-01,6228
58,RJTK,2020-01-01,2490
59,KDCA,2020-01-01,12314
60,KDAL,2020-01-01,9130
61,SBSP,2020-01-01,5540
62,UUDD,2020-01-01,6920
63,LIMC,2020-01-01,6941
64,RJTT,2020-01-01,13579
65,EDDL,2020-01-01,6247
66,LSGG,2020-01-01,6787
67,LPPT,2020-01-01,4650
68,KSJC,2020-01-01,8052
69,UUWW,2020-01-01,5787
70,EIDW,2020-01-01,7791
71,EGSS,2020-01-01,6816
72,KOAK,2020-01-01,7471
73,EBMB,2020-01-01,2321
74,YPPH,2020-01-01,5686
75,CYVR,2020-01-01,8968
76,EFHK,2020-01-01,7034
77,KLDJ,2020-01-01,562
78,KSTL,2020-01-01,7460
79,KSNA,2020-01-01,7621
80,KRDU,2020-01-01,7703
81,KBWI,2020-01-01,9894
82,RJFF,2020-01-01,5218
83,LEBL,2020-01-01,5318
84,EDDH,2020-01-01,4719
85,EGCC,2020-01-01,5276
86,KIND,2020-01-01,237
87,OMAA,2020-01-01,2330
88,SBBR,2020-01-01,4148
89,LIML,2020-01-01,4166
90,KTEB,2020-01-01,5645
91,EPWA,2020-01-01,5507
92,KHOU,2020-01-01,7110
93,EGGW,2020-01-01,4562
94,KMDW,2020-01-01,7609
95,OBBI,2020-01-01,3728
96,KPDX,2020-01-01,5761
97,PANC,2020-01-01,6308
98,LKPR,2020-01-01,3888
99,KAPA,2020-01-01,5408
