destination,month,count
KDFW,2021-05-01T00:00:00.000+02:00,25330
KORD,2021-05-01T00:00:00.000+02:00,26002
VIDP,2021-05-01T00:00:00.000+02:00,6603
OMDB,2021-05-01T00:00:00.000+02:00,7187
KLAX,2021-05-01T00:00:00.000+02:00,17962
KLAS,2021-05-01T00:00:00.000+02:00,16881
EDDF,2021-05-01T00:00:00.000+02:00,7956
EGLL,2021-05-01T00:00:00.000+02:00,5482
KJFK,2021-05-01T00:00:00.000+02:00,11634
WMKK,2021-05-01T00:00:00.000+02:00,725
LFPG,2021-05-01T00:00:00.000+02:00,6794
LEMD,2021-05-01T00:00:00.000+02:00,6523
KDEN,2021-05-01T00:00:00.000+02:00,22416
KSFO,2021-05-01T00:00:00.000+02:00,9034
YSSY,2021-05-01T00:00:00.000+02:00,9441
KMIA,2021-05-01T00:00:00.000+02:00,15915
UUEE,2021-05-01T00:00:00.000+02:00,8837
VABB,2021-05-01T00:00:00.000+02:00,3279
EHAM,2021-05-01T00:00:00.000+02:00,7598
KPHX,2021-05-01T00:00:00.000+02:00,16974
EDDM,2021-05-01T00:00:00.000+02:00,3800
KSEA,2021-05-01T00:00:00.000+02:00,15186
LTBA,2021-05-01T00:00:00.000+02:00,1510
KBOS,2021-05-01T00:00:00.000+02:00,9528
RPLL,2021-05-01T00:00:00.000+02:00,1400
LIRF,2021-05-01T00:00:00.000+02:00,3118
SBGR,2021-05-01T00:00:00.000+02:00,5064
YMML,2021-05-01T00:00:00.000+02:00,6749
CYYZ,2021-05-01T00:00:00.000+02:00,3638
RCTP,2021-05-01T00:00:00.000+02:00,3194
VOBL,2021-05-01T00:00:00.000+02:00,2833
KLGA,2021-05-01T00:00:00.000+02:00,6034
KIAH,2021-05-01T00:00:00.000+02:00,116
KFLL,2021-05-01T00:00:00.000+02:00,11908
KMSP,2021-05-01T00:00:00.000+02:00,11752
OTHH,2021-05-01T00:00:00.000+02:00,5974
LSZH,2021-05-01T00:00:00.000+02:00,3473
YBBN,2021-05-01T00:00:00.000+02:00,6332
LTFJ,2021-05-01T00:00:00.000+02:00,4421
ESSA,2021-05-01T00:00:00.000+02:00,2116
MMMX,2021-05-01T00:00:00.000+02:00,8
KPHL,2021-05-01T00:00:00.000+02:00,10331
KEWR,2021-05-01T00:00:00.000+02:00,9950
EKCH,2021-05-01T00:00:00.000+02:00,2206
RJBB,2021-05-01T00:00:00.000+02:00,1995
LOWW,2021-05-01T00:00:00.000+02:00,3202
KHHR,2021-05-01T00:00:00.000+02:00,2508
EGKK,2021-05-01T00:00:00.000+02:00,576
WIII,2021-05-01T00:00:00.000+02:00,2274
VHHH,2021-05-01T00:00:00.000+02:00,5379
LFPO,2021-05-01T00:00:00.000+02:00,3153
KSAN,2021-05-01T00:00:00.000+02:00,6250
VOMM,2021-05-01T00:00:00.000+02:00,1954
KIAD,2021-05-01T00:00:00.000+02:00,8745
NZAA,2021-05-01T00:00:00.000+02:00,1411
KDTW,2021-05-01T00:00:00.000+02:00,10904
KCLT,2021-05-01T00:00:00.000+02:00,22632
EDDT,2021-05-01T00:00:00.000+02:00,59
RJTK,2021-05-01T00:00:00.000+02:00,28
KDCA,2021-05-01T00:00:00.000+02:00,6647
KDAL,2021-05-01T00:00:00.000+02:00,8587
SBSP,2021-05-01T00:00:00.000+02:00,2348
UUDD,2021-05-01T00:00:00.000+02:00,6571
LIMC,2021-05-01T00:00:00.000+02:00,3170
RJTT,2021-05-01T00:00:00.000+02:00,9975
EDDL,2021-05-01T00:00:00.000+02:00,2005
LSGG,2021-05-01T00:00:00.000+02:00,2378
LPPT,2021-05-01T00:00:00.000+02:00,2702
KSJC,2021-05-01T00:00:00.000+02:00,4534
UUWW,2021-05-01T00:00:00.000+02:00,6351
EIDW,2021-05-01T00:00:00.000+02:00,1569
EGSS,2021-05-01T00:00:00.000+02:00,1592
KOAK,2021-05-01T00:00:00.000+02:00,5835
EBMB,2021-05-01T00:00:00.000+02:00,1254
YPPH,2021-05-01T00:00:00.000+02:00,4581
CYVR,2021-05-01T00:00:00.000+02:00,3100
EFHK,2021-05-01T00:00:00.000+02:00,1347
KLDJ,2021-05-01T00:00:00.000+02:00,1471
KSTL,2021-05-01T00:00:00.000+02:00,5091
KSNA,2021-05-01T00:00:00.000+02:00,7224
KRDU,2021-05-01T00:00:00.000+02:00,6426
KBWI,2021-05-01T00:00:00.000+02:00,8383
RJFF,2021-05-01T00:00:00.000+02:00,2618
LEBL,2021-05-01T00:00:00.000+02:00,4348
EDDH,2021-05-01T00:00:00.000+02:00,1740
EGCC,2021-05-01T00:00:00.000+02:00,1093
KIND,2021-05-01T00:00:00.000+02:00,7589
OMAA,2021-05-01T00:00:00.000+02:00,184
SBBR,2021-05-01T00:00:00.000+02:00,2277
LIML,2021-05-01T00:00:00.000+02:00,2009
KTEB,2021-05-01T00:00:00.000+02:00,5454
EPWA,2021-05-01T00:00:00.000+02:00,2442
KHOU,2021-05-01T00:00:00.000+02:00,4023
EGGW,2021-05-01T00:00:00.000+02:00,1503
KMDW,2021-05-01T00:00:00.000+02:00,7294
OBBI,2021-05-01T00:00:00.000+02:00,1697
KPDX,2021-05-01T00:00:00.000+02:00,6524
PANC,2021-05-01T00:00:00.000+02:00,8931
LKPR,2021-05-01T00:00:00.000+02:00,1351
KAPA,2021-05-01T00:00:00.000+02:00,5530
