index,destination,month,count
0,KDFW,2019-12-01,27995
1,KORD,2019-12-01,36406
2,VIDP,2019-12-01,17747
3,OMDB,2019-12-01,15991
4,KLAX,2019-12-01,24745
5,KLAS,2019-12-01,19505
6,EDDF,2019-12-01,15317
7,EGLL,2019-12-01,18134
8,KJFK,2019-12-01,17793
9,WMKK,2019-12-01,17013
10,LFPG,2019-12-01,17227
11,LEMD,2019-12-01,12094
12,KDEN,2019-12-01,7470
13,KSFO,2019-12-01,17509
14,YSSY,2019-12-01,13945
15,KMIA,2019-12-01,15595
16,UUEE,2019-12-01,14300
17,VABB,2019-12-01,10950
18,EHAM,2019-12-01,13666
19,KPHX,2019-12-01,18757
20,EDDM,2019-12-01,13482
21,KSEA,2019-12-01,16676
22,LTBA,2019-12-01,669
23,KBOS,2019-12-01,15801
24,RPLL,2019-12-01,11123
25,LIRF,2019-12-01,10670
26,SBGR,2019-12-01,9440
27,YMML,2019-12-01,10303
28,CYYZ,2019-12-01,15782
29,RCTP,2019-12-01,10706
30,VOBL,2019-12-01,9189
31,KLGA,2019-12-01,14358
32,KIAH,2019-12-01,18246
33,KFLL,2019-12-01,11430
34,KMSP,2019-12-01,13550
35,OTHH,2019-12-01,9371
36,LSZH,2019-12-01,8968
37,YBBN,2019-12-01,8800
38,LTFJ,2019-12-01,9021
39,ESSA,2019-12-01,7566
41,KPHL,2019-12-01,15534
42,KEWR,2019-12-01,19122
43,EKCH,2019-12-01,8349
44,RJBB,2019-12-01,7923
45,LOWW,2019-12-01,9409
46,KHHR,2019-12-01,4451
47,EGKK,2019-12-01,9422
49,VHHH,2019-12-01,16276
50,LFPO,2019-12-01,6341
51,KSAN,2019-12-01,9148
52,VOMM,2019-12-01,6657
53,KIAD,2019-12-01,11701
54,NZAA,2019-12-01,7114
55,KDTW,2019-12-01,6037
56,KCLT,2019-12-01,12465
57,EDDT,2019-12-01,6612
58,RJTK,2019-12-01,12245
59,KDCA,2019-12-01,11353
60,KDAL,2019-12-01,9374
61,SBSP,2019-12-01,5725
62,UUDD,2019-12-01,6822
63,LIMC,2019-12-01,7202
64,RJTT,2019-12-01,2327
65,EDDL,2019-12-01,6197
66,LSGG,2019-12-01,6489
67,LPPT,2019-12-01,4364
68,KSJC,2019-12-01,7737
69,UUWW,2019-12-01,6087
70,EIDW,2019-12-01,7981
71,EGSS,2019-12-01,6690
72,KOAK,2019-12-01,7753
73,EBMB,2019-12-01,4185
74,YPPH,2019-12-01,5552
75,CYVR,2019-12-01,8938
76,EFHK,2019-12-01,6897
77,KLDJ,2019-12-01,590
78,KSTL,2019-12-01,7551
79,KSNA,2019-12-01,6923
80,KRDU,2019-12-01,8020
81,KBWI,2019-12-01,10782
82,RJFF,2019-12-01,5126
83,LEBL,2019-12-01,7497
84,EDDH,2019-12-01,4873
85,EGCC,2019-12-01,5486
86,KIND,2019-12-01,7496
87,OMAA,2019-12-01,2285
88,SBBR,2019-12-01,4365
89,LIML,2019-12-01,4157
90,KTEB,2019-12-01,6620
91,EPWA,2019-12-01,5194
92,KHOU,2019-12-01,7235
93,EGGW,2019-12-01,5058
94,KMDW,2019-12-01,8760
95,OBBI,2019-12-01,3592
96,KPDX,2019-12-01,7950
97,PANC,2019-12-01,6108
98,LKPR,2019-12-01,4193
99,KAPA,2019-12-01,4988
