destination,month,count
KDFW,2021-08-01,26785.0
KORD,2021-08-01,34126.0
VIDP,2021-08-01,12169.0
OMDB,2021-08-01,8663.0
KLAX,2021-08-01,23443.0
KLAS,2021-08-01,19816.0
EDDF,2021-08-01,13862.0
EGLL,2021-08-01,9571.0
KJFK,2021-08-01,14748.0
WMKK,2021-08-01,1460.0
LFPG,2021-08-01,14260.0
LEMD,2021-08-01,11450.0
KDEN,2021-08-01,28380.0
KSFO,2021-08-01,12737.0
YSSY,2021-08-01,2637.0
KMIA,2021-08-01,15368.0
UUEE,2021-08-01,12545.0
VABB,2021-08-01,4450.0
EHAM,2021-08-01,15563.0
KPHX,2021-08-01,18170.0
EDDM,2021-08-01,8571.0
KSEA,2021-08-01,18252.0
LTBA,2021-08-01,3946.0
KBOS,2021-08-01,13924.0
RPLL,2021-08-01,2455.0
LIRF,2021-08-01,7208.0
SBGR,2021-08-01,7287.0
YMML,2021-08-01,1809.0
CYYZ,2021-08-01,9543.0
RCTP,2021-08-01,3768.0
VOBL,2021-08-01,5737.0
KLGA,2021-08-01,8521.0
KIAH,2021-08-01,123.0
KFLL,2021-08-01,10789.0
KMSP,2021-08-01,14273.0
OTHH,2021-08-01,7578.0
LSZH,2021-08-01,7609.0
YBBN,2021-08-01,3417.0
LTFJ,2021-08-01,10003.0
ESSA,2021-08-01,4433.0
MMMX,2021-08-01,4.0
KPHL,2021-08-01,12702.0
KEWR,2021-08-01,14251.0
EKCH,2021-08-01,6529.0
RJBB,2021-08-01,2944.0
LOWW,2021-08-01,8171.0
KHHR,2021-08-01,1905.0
EGKK,2021-08-01,1821.0
WIII,,
VHHH,2021-08-01,5891.0
LFPO,2021-08-01,7349.0
KSAN,2021-08-01,8058.0
VOMM,2021-08-01,3474.0
KIAD,2021-08-01,12443.0
NZAA,2021-08-01,2262.0
KDTW,2021-08-01,11398.0
KCLT,2021-08-01,22750.0
EDDT,2021-08-01,60.0
RJTK,2021-08-01,36.0
KDCA,2021-08-01,8171.0
KDAL,2021-08-01,9162.0
SBSP,2021-08-01,3830.0
UUDD,2021-08-01,8189.0
LIMC,2021-08-01,7162.0
RJTT,2021-08-01,12292.0
EDDL,2021-08-01,5154.0
LSGG,2021-08-01,5405.0
LPPT,2021-08-01,5764.0
KSJC,2021-08-01,5667.0
UUWW,2021-08-01,7425.0
EIDW,2021-08-01,5280.0
EGSS,2021-08-01,5916.0
KOAK,2021-08-01,6540.0
EBMB,2021-08-01,1625.0
YPPH,2021-08-01,4267.0
CYVR,2021-08-01,6950.0
EFHK,2021-08-01,3205.0
KLDJ,2021-08-01,642.0
KSTL,2021-08-01,6388.0
KSNA,2021-08-01,8774.0
KRDU,2021-08-01,7040.0
KBWI,2021-08-01,9107.0
RJFF,2021-08-01,3325.0
LEBL,2021-08-01,10806.0
EDDH,2021-08-01,3428.0
EGCC,2021-08-01,4352.0
KIND,2021-08-01,8153.0
OMAA,2021-08-01,648.0
SBBR,2021-08-01,3212.0
LIML,2021-08-01,3532.0
KTEB,2021-08-01,5956.0
EPWA,2021-08-01,5665.0
KHOU,2021-08-01,5588.0
EGGW,2021-08-01,3853.0
KMDW,2021-08-01,9010.0
OBBI,2021-08-01,2107.0
KPDX,2021-08-01,7618.0
PANC,2021-08-01,12596.0
LKPR,2021-08-01,3542.0
KAPA,2021-08-01,7234.0
