index,destination,month,count
0,KDFW,2020-02-01,26830
1,KORD,2020-02-01,33538
2,VIDP,2020-02-01,16727
3,OMDB,2020-02-01,12720
4,KLAX,2020-02-01,22600
5,KLAS,2020-02-01,19480
6,EDDF,2020-02-01,16437
7,EGLL,2020-02-01,17321
8,KJFK,2020-02-01,16606
9,WMKK,2020-02-01,14822
10,LFPG,2020-02-01,16349
11,LEMD,2020-02-01,14662
12,KDEN,2020-02-01,12173
13,KSFO,2020-02-01,16906
14,YSSY,2020-02-01,12931
15,KMIA,2020-02-01,16706
16,UUEE,2020-02-01,13421
17,VABB,2020-02-01,11516
18,EHAM,2020-02-01,13767
19,KPHX,2020-02-01,18635
20,EDDM,2020-02-01,13690
21,KSEA,2020-02-01,16460
22,LTBA,2020-02-01,660
23,KBOS,2020-02-01,15642
24,RPLL,2020-02-01,10331
25,LIRF,2020-02-01,9501
26,SBGR,2020-02-01,9928
27,YMML,2020-02-01,9302
28,CYYZ,2020-02-01,15317
29,RCTP,2020-02-01,7735
30,VOBL,2020-02-01,9125
31,KLGA,2020-02-01,14379
32,KIAH,2020-02-01,17755
33,KFLL,2020-02-01,11726
34,KMSP,2020-02-01,10537
35,OTHH,2020-02-01,8955
36,LSZH,2020-02-01,8797
37,YBBN,2020-02-01,8124
38,LTFJ,2020-02-01,8643
39,ESSA,2020-02-01,7659
41,KPHL,2020-02-01,14095
42,KEWR,2020-02-01,17808
43,EKCH,2020-02-01,8735
44,RJBB,2020-02-01,5971
45,LOWW,2020-02-01,8754
46,KHHR,2020-02-01,4527
47,EGKK,2020-02-01,3738
49,VHHH,2020-02-01,9215
50,LFPO,2020-02-01,6317
51,KSAN,2020-02-01,8766
52,VOMM,2020-02-01,6764
53,KIAD,2020-02-01,11296
54,NZAA,2020-02-01,6735
55,KDTW,2020-02-01,11553
56,KCLT,2020-02-01,14345
57,EDDT,2020-02-01,6122
58,RJTK,2020-02-01,2285
59,KDCA,2020-02-01,11820
60,KDAL,2020-02-01,9038
61,SBSP,2020-02-01,5753
62,UUDD,2020-02-01,6403
63,LIMC,2020-02-01,6853
64,RJTT,2020-02-01,11270
65,EDDL,2020-02-01,6119
66,LSGG,2020-02-01,6961
67,LPPT,2020-02-01,6931
68,KSJC,2020-02-01,7648
69,UUWW,2020-02-01,5492
70,EIDW,2020-02-01,7493
71,EGSS,2020-02-01,6724
72,KOAK,2020-02-01,7237
73,EBMB,2020-02-01,532
74,YPPH,2020-02-01,5191
75,CYVR,2020-02-01,8722
76,EFHK,2020-02-01,6096
77,KLDJ,2020-02-01,483
78,KSTL,2020-02-01,7168
79,KSNA,2020-02-01,7395
80,KRDU,2020-02-01,7526
81,KBWI,2020-02-01,9168
82,RJFF,2020-02-01,4841
83,LEBL,2020-02-01,9725
84,EDDH,2020-02-01,4689
85,EGCC,2020-02-01,5376
86,KIND,2020-02-01,84
87,OMAA,2020-02-01,1798
88,SBBR,2020-02-01,3985
89,LIML,2020-02-01,3980
90,KTEB,2020-02-01,6298
91,EPWA,2020-02-01,5448
92,KHOU,2020-02-01,6481
93,EGGW,2020-02-01,4527
94,KMDW,2020-02-01,7569
95,OBBI,2020-02-01,3448
96,KPDX,2020-02-01,7404
97,PANC,2020-02-01,6008
98,LKPR,2020-02-01,3511
99,KAPA,2020-02-01,4948
