index,destination,month,count
0,KDFW,2019-04-01,22264
1,KORD,2019-04-01,26937
2,VIDP,2019-04-01,16102
3,OMDB,2019-04-01,13419
4,KLAX,2019-04-01,12085
5,KLAS,2019-04-01,18141
6,EDDF,2019-04-01,16847
7,EGLL,2019-04-01,19612
8,KJFK,2019-04-01,16579
9,WMKK,2019-04-01,16271
10,LFPG,2019-04-01,18835
11,LEMD,2019-04-01,15417
12,KDEN,2019-04-01,11763
13,KSFO,2019-04-01,16724
14,YSSY,2019-04-01,14251
15,KMIA,2019-04-01,311
16,UUEE,2019-04-01,14458
17,VABB,2019-04-01,9467
18,EHAM,2019-04-01,16731
19,KPHX,2019-04-01,13822
20,EDDM,2019-04-01,13995
21,KSEA,2019-04-01,13929
22,LTBA,2019-04-01,1814
23,KBOS,2019-04-01,4101
24,RPLL,2019-04-01,11431
25,LIRF,2019-04-01,12552
26,SBGR,2019-04-01,9151
27,YMML,2019-04-01,10104
28,CYYZ,2019-04-01,10941
29,RCTP,2019-04-01,7623
30,VOBL,2019-04-01,8670
31,KLGA,2019-04-01,12163
32,KIAH,2019-04-01,1640
33,KFLL,2019-04-01,1643
34,KMSP,2019-04-01,12226
35,OTHH,2019-04-01,7102
36,LSZH,2019-04-01,9641
37,YBBN,2019-04-01,8825
38,LTFJ,2019-04-01,9241
39,ESSA,2019-04-01,8696
40,MMMX,2019-04-01,8471
41,KPHL,2019-04-01,11712
42,KEWR,2019-04-01,11466
43,EKCH,2019-04-01,9737
44,RJBB,2019-04-01,8275
45,LOWW,2019-04-01,10054
46,KHHR,2019-04-01,13939
47,EGKK,2019-04-01,11422
48,WIII,2019-04-01,442
49,VHHH,2019-04-01,5594
50,LFPO,2019-04-01,8042
51,KSAN,2019-04-01,8120
52,VOMM,2019-04-01,5995
53,KIAD,2019-04-01,9190
54,NZAA,2019-04-01,6687
55,KDTW,2019-04-01,462
56,KCLT,2019-04-01,12983
57,EDDT,2019-04-01,7696
58,RJTK,2019-04-01,4822
59,KDCA,2019-04-01,7327
60,KDAL,2019-04-01,7435
61,SBSP,2019-04-01,5960
62,UUDD,2019-04-01,6860
63,LIMC,2019-04-01,3886
64,RJTT,2019-04-01,3554
65,EDDL,2019-04-01,7631
66,LSGG,2019-04-01,6074
67,LPPT,2019-04-01,4705
68,KSJC,2019-04-01,6839
69,UUWW,2019-04-01,6222
70,EIDW,2019-04-01,5126
71,EGSS,2019-04-01,7908
72,KOAK,2019-04-01,6427
73,EBMB,2019-04-01,4253
74,YPPH,2019-04-01,5375
75,CYVR,2019-04-01,5890
76,EFHK,2019-04-01,5694
77,KLDJ,2019-04-01,5277
78,KSTL,2019-04-01,6029
79,KSNA,2019-04-01,5805
80,KRDU,2019-04-01,5836
81,KBWI,2019-04-01,8645
82,RJFF,2019-04-01,4856
83,LEBL,2019-04-01,14026
84,EDDH,2019-04-01,5654
85,EGCC,2019-04-01,6494
86,KIND,2019-04-01,5787
87,OMAA,2019-04-01,893
88,SBBR,2019-04-01,3675
89,LIML,2019-04-01,4173
90,KTEB,2019-04-01,5403
91,EPWA,2019-04-01,4546
92,KHOU,2019-04-01,5845
93,EGGW,2019-04-01,5616
94,KMDW,2019-04-01,7597
95,OBBI,2019-04-01,3336
96,KPDX,2019-04-01,5549
97,PANC,2019-04-01,5043
98,LKPR,2019-04-01,329
99,KAPA,2019-04-01,4122
