destination,month,count
KDFW,2020-03-01T00:00:00.000+01:00,25121
KORD,2020-03-01T00:00:00.000+01:00,32048
VIDP,2020-03-01T00:00:00.000+01:00,13080
OMDB,2020-03-01T00:00:00.000+01:00,8830
KLAX,2020-03-01T00:00:00.000+01:00,20718
KLAS,2020-03-01T00:00:00.000+01:00,14547
EDDF,2020-03-01T00:00:00.000+01:00,10551
EGLL,2020-03-01T00:00:00.000+01:00,12920
KJFK,2020-03-01T00:00:00.000+01:00,14420
WMKK,2020-03-01T00:00:00.000+01:00,8302
LFPG,2020-03-01T00:00:00.000+01:00,11027
LEMD,2020-03-01T00:00:00.000+01:00,8600
KDEN,2020-03-01T00:00:00.000+01:00,11353
KSFO,2020-03-01T00:00:00.000+01:00,14685
YSSY,2020-03-01T00:00:00.000+01:00,10784
KMIA,2020-03-01T00:00:00.000+01:00,13744
UUEE,2020-03-01T00:00:00.000+01:00,11608
VABB,2020-03-01T00:00:00.000+01:00,8694
EHAM,2020-03-01T00:00:00.000+01:00,10169
KPHX,2020-03-01T00:00:00.000+01:00,18052
EDDM,2020-03-01T00:00:00.000+01:00,8028
KSEA,2020-03-01T00:00:00.000+01:00,15406
LTBA,2020-03-01T00:00:00.000+01:00,1157
KBOS,2020-03-01T00:00:00.000+01:00,14317
RPLL,2020-03-01T00:00:00.000+01:00,5623
LIRF,2020-03-01T00:00:00.000+01:00,4234
SBGR,2020-03-01T00:00:00.000+01:00,7876
YMML,2020-03-01T00:00:00.000+01:00,7771
CYYZ,2020-03-01T00:00:00.000+01:00,13280
RCTP,2020-03-01T00:00:00.000+01:00,3850
VOBL,2020-03-01T00:00:00.000+01:00,6734
KLGA,2020-03-01T00:00:00.000+01:00,12335
KIAH,2020-03-01T00:00:00.000+01:00,16256
KFLL,2020-03-01T00:00:00.000+01:00,11177
KMSP,2020-03-01T00:00:00.000+01:00,9445
OTHH,2020-03-01T00:00:00.000+01:00,6381
LSZH,2020-03-01T00:00:00.000+01:00,5184
YBBN,2020-03-01T00:00:00.000+01:00,7181
LTFJ,2020-03-01T00:00:00.000+01:00,5725
ESSA,2020-03-01T00:00:00.000+01:00,5580
KPHL,2020-03-01T00:00:00.000+01:00,13276
KEWR,2020-03-01T00:00:00.000+01:00,15479
EKCH,2020-03-01T00:00:00.000+01:00,5578
RJBB,2020-03-01T00:00:00.000+01:00,3927
LOWW,2020-03-01T00:00:00.000+01:00,5091
KHHR,2020-03-01T00:00:00.000+01:00,3857
EGKK,2020-03-01T00:00:00.000+01:00,3250
VHHH,2020-03-01T00:00:00.000+01:00,6237
LFPO,2020-03-01T00:00:00.000+01:00,3881
KSAN,2020-03-01T00:00:00.000+01:00,8104
VOMM,2020-03-01T00:00:00.000+01:00,4802
KIAD,2020-03-01T00:00:00.000+01:00,10011
NZAA,2020-03-01T00:00:00.000+01:00,5756
KDTW,2020-03-01T00:00:00.000+01:00,10218
KCLT,2020-03-01T00:00:00.000+01:00,12970
EDDT,2020-03-01T00:00:00.000+01:00,4050
RJTK,2020-03-01T00:00:00.000+01:00,1067
KDCA,2020-03-01T00:00:00.000+01:00,10550
KDAL,2020-03-01T00:00:00.000+01:00,7835
SBSP,2020-03-01T00:00:00.000+01:00,4247
UUDD,2020-03-01T00:00:00.000+01:00,5910
LIMC,2020-03-01T00:00:00.000+01:00,2557
RJTT,2020-03-01T00:00:00.000+01:00,9952
EDDL,2020-03-01T00:00:00.000+01:00,4054
LSGG,2020-03-01T00:00:00.000+01:00,4645
LPPT,2020-03-01T00:00:00.000+01:00,4603
KSJC,2020-03-01T00:00:00.000+01:00,6286
UUWW,2020-03-01T00:00:00.000+01:00,5174
EIDW,2020-03-01T00:00:00.000+01:00,6246
EGSS,2020-03-01T00:00:00.000+01:00,4823
KOAK,2020-03-01T00:00:00.000+01:00,6122
EBMB,2020-03-01T00:00:00.000+01:00,500
YPPH,2020-03-01T00:00:00.000+01:00,5165
CYVR,2020-03-01T00:00:00.000+01:00,7128
EFHK,2020-03-01T00:00:00.000+01:00,4192
KLDJ,2020-03-01T00:00:00.000+01:00,419
KSTL,2020-03-01T00:00:00.000+01:00,6714
KSNA,2020-03-01T00:00:00.000+01:00,5718
KRDU,2020-03-01T00:00:00.000+01:00,6728
KBWI,2020-03-01T00:00:00.000+01:00,9159
RJFF,2020-03-01T00:00:00.000+01:00,3897
LEBL,2020-03-01T00:00:00.000+01:00,6531
EDDH,2020-03-01T00:00:00.000+01:00,3071
EGCC,2020-03-01T00:00:00.000+01:00,3742
KIND,2020-03-01T00:00:00.000+01:00,83
OMAA,2020-03-01T00:00:00.000+01:00,1248
SBBR,2020-03-01T00:00:00.000+01:00,3105
LIML,2020-03-01T00:00:00.000+01:00,878
KTEB,2020-03-01T00:00:00.000+01:00,4573
EPWA,2020-03-01T00:00:00.000+01:00,3206
KHOU,2020-03-01T00:00:00.000+01:00,6258
EGGW,2020-03-01T00:00:00.000+01:00,3374
KMDW,2020-03-01T00:00:00.000+01:00,6088
OBBI,2020-03-01T00:00:00.000+01:00,1798
KPDX,2020-03-01T00:00:00.000+01:00,6443
PANC,2020-03-01T00:00:00.000+01:00,6999
LKPR,2020-03-01T00:00:00.000+01:00,2188
KAPA,2020-03-01T00:00:00.000+01:00,4756
