index,destination,month,count
0,KDFW,2019-05-01,24592
1,KORD,2019-05-01,23596
2,VIDP,2019-05-01,17153
3,OMDB,2019-05-01,11219
4,KLAX,2019-05-01,8060
5,KLAS,2019-05-01,20209
6,EDDF,2019-05-01,18268
7,EGLL,2019-05-01,20097
8,KJFK,2019-05-01,17205
9,WMKK,2019-05-01,15411
10,LFPG,2019-05-01,19238
11,LEMD,2019-05-01,16552
12,KDEN,2019-05-01,7441
13,KSFO,2019-05-01,17615
14,YSSY,2019-05-01,14311
15,KMIA,2019-05-01,268
16,UUEE,2019-05-01,15272
17,VABB,2019-05-01,10736
18,EHAM,2019-05-01,17461
19,KPHX,2019-05-01,13938
20,EDDM,2019-05-01,15611
21,KSEA,2019-05-01,15462
22,LTBA,2019-05-01,736
23,KBOS,2019-05-01,7153
24,RPLL,2019-05-01,10878
25,LIRF,2019-05-01,12846
26,SBGR,2019-05-01,8108
27,YMML,2019-05-01,9845
28,CYYZ,2019-05-01,12212
29,RCTP,2019-05-01,6236
30,VOBL,2019-05-01,9119
31,KLGA,2019-05-01,12953
32,KIAH,2019-05-01,2269
33,KFLL,2019-05-01,696
34,KMSP,2019-05-01,13374
35,OTHH,2019-05-01,8851
36,LSZH,2019-05-01,10341
37,YBBN,2019-05-01,8936
38,LTFJ,2019-05-01,9281
39,ESSA,2019-05-01,9577
40,MMMX,2019-05-01,9916
41,KPHL,2019-05-01,13853
42,KEWR,2019-05-01,10811
43,EKCH,2019-05-01,10378
44,RJBB,2019-05-01,8387
45,LOWW,2019-05-01,10899
46,KHHR,2019-05-01,18297
47,EGKK,2019-05-01,11245
49,VHHH,2019-05-01,9501
50,LFPO,2019-05-01,8204
51,KSAN,2019-05-01,8502
52,VOMM,2019-05-01,5946
53,KIAD,2019-05-01,10094
54,NZAA,2019-05-01,6227
55,KDTW,2019-05-01,1
56,KCLT,2019-05-01,13745
57,EDDT,2019-05-01,8242
58,RJTK,2019-05-01,3667
59,KDCA,2019-05-01,8359
60,KDAL,2019-05-01,7598
61,SBSP,2019-05-01,5979
62,UUDD,2019-05-01,7967
63,LIMC,2019-05-01,1621
64,RJTT,2019-05-01,3200
65,EDDL,2019-05-01,8289
66,LSGG,2019-05-01,6645
67,LPPT,2019-05-01,7316
68,KSJC,2019-05-01,7035
69,UUWW,2019-05-01,6991
70,EIDW,2019-05-01,8302
71,EGSS,2019-05-01,8579
72,KOAK,2019-05-01,6942
73,EBMB,2019-05-01,6425
74,YPPH,2019-05-01,5543
75,CYVR,2019-05-01,6377
76,EFHK,2019-05-01,6231
77,KLDJ,2019-05-01,6744
78,KSTL,2019-05-01,4854
79,KSNA,2019-05-01,6148
80,KRDU,2019-05-01,6457
81,KBWI,2019-05-01,8300
82,RJFF,2019-05-01,5048
83,LEBL,2019-05-01,14733
84,EDDH,2019-05-01,6131
85,EGCC,2019-05-01,7423
86,KIND,2019-05-01,6414
87,OMAA,2019-05-01,1341
88,SBBR,2019-05-01,3730
89,LIML,2019-05-01,4450
90,KTEB,2019-05-01,6238
91,EPWA,2019-05-01,5088
92,KHOU,2019-05-01,5670
93,EGGW,2019-05-01,6063
94,KMDW,2019-05-01,8709
95,OBBI,2019-05-01,3530
96,KPDX,2019-05-01,4558
97,PANC,2019-05-01,6048
98,LKPR,2019-05-01,1342
99,KAPA,2019-05-01,4185
