destination,month,count
KDFW,2020-08-01T00:00:00.000+02:00,19794
KORD,2020-08-01T00:00:00.000+02:00,21363
VIDP,2020-08-01T00:00:00.000+02:00,6768
OMDB,2020-08-01T00:00:00.000+02:00,5652
KLAX,2020-08-01T00:00:00.000+02:00,13235
KLAS,2020-08-01T00:00:00.000+02:00,12462
EDDF,2020-08-01T00:00:00.000+02:00,8333
EGLL,2020-08-01T00:00:00.000+02:00,7632
KJFK,2020-08-01T00:00:00.000+02:00,6809
WMKK,2020-08-01T00:00:00.000+02:00,3016
LFPG,2020-08-01T00:00:00.000+02:00,10778
LEMD,2020-08-01T00:00:00.000+02:00,7080
KDEN,2020-08-01T00:00:00.000+02:00,10730
KSFO,2020-08-01T00:00:00.000+02:00,8397
YSSY,2020-08-01T00:00:00.000+02:00,2850
KMIA,2020-08-01T00:00:00.000+02:00,7689
UUEE,2020-08-01T00:00:00.000+02:00,7806
VABB,2020-08-01T00:00:00.000+02:00,1719
EHAM,2020-08-01T00:00:00.000+02:00,9650
KPHX,2020-08-01T00:00:00.000+02:00,11729
EDDM,2020-08-01T00:00:00.000+02:00,5595
KSEA,2020-08-01T00:00:00.000+02:00,13485
LTBA,2020-08-01T00:00:00.000+02:00,1412
KBOS,2020-08-01T00:00:00.000+02:00,7836
RPLL,2020-08-01T00:00:00.000+02:00,2146
LIRF,2020-08-01T00:00:00.000+02:00,4940
SBGR,2020-08-01T00:00:00.000+02:00,3734
YMML,2020-08-01T00:00:00.000+02:00,1044
CYYZ,2020-08-01T00:00:00.000+02:00,4914
RCTP,2020-08-01T00:00:00.000+02:00,3621
VOBL,2020-08-01T00:00:00.000+02:00,3579
KLGA,2020-08-01T00:00:00.000+02:00,4056
KIAH,2020-08-01T00:00:00.000+02:00,2845
KFLL,2020-08-01T00:00:00.000+02:00,5658
KMSP,2020-08-01T00:00:00.000+02:00,6447
OTHH,2020-08-01T00:00:00.000+02:00,4550
LSZH,2020-08-01T00:00:00.000+02:00,4941
YBBN,2020-08-01T00:00:00.000+02:00,3556
LTFJ,2020-08-01T00:00:00.000+02:00,6760
ESSA,2020-08-01T00:00:00.000+02:00,2625
KPHL,2020-08-01T00:00:00.000+02:00,10070
KEWR,2020-08-01T00:00:00.000+02:00,8094
EKCH,2020-08-01T00:00:00.000+02:00,4093
RJBB,2020-08-01T00:00:00.000+02:00,2848
LOWW,2020-08-01T00:00:00.000+02:00,4986
KHHR,2020-08-01T00:00:00.000+02:00,2135
EGKK,2020-08-01T00:00:00.000+02:00,2988
VHHH,2020-08-01T00:00:00.000+02:00,5061
LFPO,2020-08-01T00:00:00.000+02:00,3888
KSAN,2020-08-01T00:00:00.000+02:00,5491
VOMM,2020-08-01T00:00:00.000+02:00,1648
KIAD,2020-08-01T00:00:00.000+02:00,6976
NZAA,2020-08-01T00:00:00.000+02:00,301
KDTW,2020-08-01T00:00:00.000+02:00,8541
KCLT,2020-08-01T00:00:00.000+02:00,6670
EDDT,2020-08-01T00:00:00.000+02:00,2620
RJTK,2020-08-01T00:00:00.000+02:00,659
KDCA,2020-08-01T00:00:00.000+02:00,4756
KDAL,2020-08-01T00:00:00.000+02:00,7614
SBSP,2020-08-01T00:00:00.000+02:00,968
UUDD,2020-08-01T00:00:00.000+02:00,7392
LIMC,2020-08-01T00:00:00.000+02:00,4706
RJTT,2020-08-01T00:00:00.000+02:00,8175
EDDL,2020-08-01T00:00:00.000+02:00,3582
LSGG,2020-08-01T00:00:00.000+02:00,3647
LPPT,2020-08-01T00:00:00.000+02:00,3366
KSJC,2020-08-01T00:00:00.000+02:00,4097
UUWW,2020-08-01T00:00:00.000+02:00,5751
EIDW,2020-08-01T00:00:00.000+02:00,3956
EGSS,2020-08-01T00:00:00.000+02:00,5104
KOAK,2020-08-01T00:00:00.000+02:00,5022
EBMB,2020-08-01T00:00:00.000+02:00,392
YPPH,2020-08-01T00:00:00.000+02:00,3368
CYVR,2020-08-01T00:00:00.000+02:00,4086
EFHK,2020-08-01T00:00:00.000+02:00,2465
KLDJ,2020-08-01T00:00:00.000+02:00,613
KSTL,2020-08-01T00:00:00.000+02:00,5852
KSNA,2020-08-01T00:00:00.000+02:00,6627
KRDU,2020-08-01T00:00:00.000+02:00,4761
KBWI,2020-08-01T00:00:00.000+02:00,7950
RJFF,2020-08-01T00:00:00.000+02:00,3181
LEBL,2020-08-01T00:00:00.000+02:00,6622
EDDH,2020-08-01T00:00:00.000+02:00,2822
EGCC,2020-08-01T00:00:00.000+02:00,3246
KIND,2020-08-01T00:00:00.000+02:00,6261
OMAA,2020-08-01T00:00:00.000+02:00,1343
SBBR,2020-08-01T00:00:00.000+02:00,1628
LIML,2020-08-01T00:00:00.000+02:00,2306
KTEB,2020-08-01T00:00:00.000+02:00,2892
EPWA,2020-08-01T00:00:00.000+02:00,3986
KHOU,2020-08-01T00:00:00.000+02:00,4301
EGGW,2020-08-01T00:00:00.000+02:00,4260
KMDW,2020-08-01T00:00:00.000+02:00,7100
OBBI,2020-08-01T00:00:00.000+02:00,1023
KPDX,2020-08-01T00:00:00.000+02:00,5672
PANC,2020-08-01T00:00:00.000+02:00,8563
LKPR,2020-08-01T00:00:00.000+02:00,2286
KAPA,2020-08-01T00:00:00.000+02:00,6645
