index,destination,month,count
0,KDFW,2019-07-01,26573
1,KORD,2019-07-01,26730
2,VIDP,2019-07-01,15722
3,OMDB,2019-07-01,16481
4,KLAX,2019-07-01,20758
5,KLAS,2019-07-01,19782
6,EDDF,2019-07-01,18776
7,EGLL,2019-07-01,20437
8,KJFK,2019-07-01,18608
9,WMKK,2019-07-01,16784
10,LFPG,2019-07-01,20628
11,LEMD,2019-07-01,17664
12,KDEN,2019-07-01,5934
13,KSFO,2019-07-01,19510
14,YSSY,2019-07-01,14669
15,KMIA,2019-07-01,92
16,UUEE,2019-07-01,15672
17,VABB,2019-07-01,11981
18,EHAM,2019-07-01,17447
19,KPHX,2019-07-01,15929
20,EDDM,2019-07-01,16415
21,KSEA,2019-07-01,18130
22,LTBA,2019-07-01,501
23,KBOS,2019-07-01,16626
24,RPLL,2019-07-01,6494
25,LIRF,2019-07-01,14491
26,SBGR,2019-07-01,9277
27,YMML,2019-07-01,10552
28,CYYZ,2019-07-01,13822
29,RCTP,2019-07-01,10617
30,VOBL,2019-07-01,8871
31,KLGA,2019-07-01,13481
32,KIAH,2019-07-01,2648
33,KFLL,2019-07-01,23
34,KMSP,2019-07-01,15821
35,OTHH,2019-07-01,9679
36,LSZH,2019-07-01,10880
37,YBBN,2019-07-01,9470
38,LTFJ,2019-07-01,10521
39,ESSA,2019-07-01,8788
40,MMMX,2019-07-01,2091
41,KPHL,2019-07-01,14396
42,KEWR,2019-07-01,14598
43,EKCH,2019-07-01,10413
44,RJBB,2019-07-01,8632
45,LOWW,2019-07-01,10997
46,KHHR,2019-07-01,9159
47,EGKK,2019-07-01,11074
49,VHHH,2019-07-01,17871
50,LFPO,2019-07-01,3674
51,KSAN,2019-07-01,9613
52,VOMM,2019-07-01,6340
53,KIAD,2019-07-01,10363
54,NZAA,2019-07-01,5950
55,KDTW,2019-07-01,1
56,KCLT,2019-07-01,2070
57,EDDT,2019-07-01,7949
58,RJTK,2019-07-01,2716
59,KDCA,2019-07-01,9731
60,KDAL,2019-07-01,8050
61,SBSP,2019-07-01,6028
62,UUDD,2019-07-01,8775
63,LIMC,2019-07-01,8175
64,RJTT,2019-07-01,5714
65,EDDL,2019-07-01,8605
66,LSGG,2019-07-01,6976
67,LPPT,2019-07-01,7006
68,KSJC,2019-07-01,7702
69,UUWW,2019-07-01,7798
70,EIDW,2019-07-01,10012
71,EGSS,2019-07-01,8842
72,KOAK,2019-07-01,7146
73,EBMB,2019-07-01,6897
74,YPPH,2019-07-01,5763
75,CYVR,2019-07-01,7503
76,EFHK,2019-07-01,6467
77,KLDJ,2019-07-01,4029
78,KSTL,2019-07-01,6858
79,KSNA,2019-07-01,6856
80,KRDU,2019-07-01,7019
81,KBWI,2019-07-01,9433
82,RJFF,2019-07-01,5140
83,LEBL,2019-07-01,15603
84,EDDH,2019-07-01,6281
85,EGCC,2019-07-01,7850
86,KIND,2019-07-01,6935
87,OMAA,2019-07-01,2230
88,SBBR,2019-07-01,4041
89,LIML,2019-07-01,4168
90,KTEB,2019-07-01,5068
91,EPWA,2019-07-01,5436
92,KHOU,2019-07-01,6594
93,EGGW,2019-07-01,6333
94,KMDW,2019-07-01,7409
95,OBBI,2019-07-01,3905
96,KPDX,2019-07-01,8722
97,PANC,2019-07-01,8517
98,LKPR,2019-07-01,559
99,KAPA,2019-07-01,5450
