destination,month,count
KDFW,2020-07-01T00:00:00.000+02:00,19238
KORD,2020-07-01T00:00:00.000+02:00,18956
VIDP,2020-07-01T00:00:00.000+02:00,6254
OMDB,2020-07-01T00:00:00.000+02:00,4746
KLAX,2020-07-01T00:00:00.000+02:00,12198
KLAS,2020-07-01T00:00:00.000+02:00,11764
EDDF,2020-07-01T00:00:00.000+02:00,7261
EGLL,2020-07-01T00:00:00.000+02:00,5982
KJFK,2020-07-01T00:00:00.000+02:00,6259
WMKK,2020-07-01T00:00:00.000+02:00,2777
LFPG,2020-07-01T00:00:00.000+02:00,8904
LEMD,2020-07-01T00:00:00.000+02:00,4829
KDEN,2020-07-01T00:00:00.000+02:00,7122
KSFO,2020-07-01T00:00:00.000+02:00,7783
YSSY,2020-07-01T00:00:00.000+02:00,3364
KMIA,2020-07-01T00:00:00.000+02:00,8570
UUEE,2020-07-01T00:00:00.000+02:00,6080
VABB,2020-07-01T00:00:00.000+02:00,2475
EHAM,2020-07-01T00:00:00.000+02:00,6821
KPHX,2020-07-01T00:00:00.000+02:00,11341
EDDM,2020-07-01T00:00:00.000+02:00,4532
KSEA,2020-07-01T00:00:00.000+02:00,11351
LTBA,2020-07-01T00:00:00.000+02:00,1371
KBOS,2020-07-01T00:00:00.000+02:00,7886
RPLL,2020-07-01T00:00:00.000+02:00,2354
LIRF,2020-07-01T00:00:00.000+02:00,3753
SBGR,2020-07-01T00:00:00.000+02:00,2960
YMML,2020-07-01T00:00:00.000+02:00,1405
CYYZ,2020-07-01T00:00:00.000+02:00,4640
RCTP,2020-07-01T00:00:00.000+02:00,3610
VOBL,2020-07-01T00:00:00.000+02:00,2691
KLGA,2020-07-01T00:00:00.000+02:00,4430
KIAH,2020-07-01T00:00:00.000+02:00,862
KFLL,2020-07-01T00:00:00.000+02:00,6213
KMSP,2020-07-01T00:00:00.000+02:00,6421
OTHH,2020-07-01T00:00:00.000+02:00,4054
LSZH,2020-07-01T00:00:00.000+02:00,4421
YBBN,2020-07-01T00:00:00.000+02:00,3485
LTFJ,2020-07-01T00:00:00.000+02:00,4756
ESSA,2020-07-01T00:00:00.000+02:00,2174
KPHL,2020-07-01T00:00:00.000+02:00,9345
KEWR,2020-07-01T00:00:00.000+02:00,7428
EKCH,2020-07-01T00:00:00.000+02:00,3595
RJBB,2020-07-01T00:00:00.000+02:00,2214
LOWW,2020-07-01T00:00:00.000+02:00,3769
KHHR,2020-07-01T00:00:00.000+02:00,2451
EGKK,2020-07-01T00:00:00.000+02:00,1006
WIII,2020-07-01T00:00:00.000+02:00,306
VHHH,2020-07-01T00:00:00.000+02:00,5016
LFPO,2020-07-01T00:00:00.000+02:00,2414
KSAN,2020-07-01T00:00:00.000+02:00,5065
VOMM,2020-07-01T00:00:00.000+02:00,1380
KIAD,2020-07-01T00:00:00.000+02:00,6001
NZAA,2020-07-01T00:00:00.000+02:00,3052
KDTW,2020-07-01T00:00:00.000+02:00,7742
KCLT,2020-07-01T00:00:00.000+02:00,14373
EDDT,2020-07-01T00:00:00.000+02:00,2212
RJTK,2020-07-01T00:00:00.000+02:00,795
KDCA,2020-07-01T00:00:00.000+02:00,5108
KDAL,2020-07-01T00:00:00.000+02:00,6808
SBSP,2020-07-01T00:00:00.000+02:00,1090
UUDD,2020-07-01T00:00:00.000+02:00,6092
LIMC,2020-07-01T00:00:00.000+02:00,4382
RJTT,2020-07-01T00:00:00.000+02:00,5407
EDDL,2020-07-01T00:00:00.000+02:00,3088
LSGG,2020-07-01T00:00:00.000+02:00,2931
LPPT,2020-07-01T00:00:00.000+02:00,2231
KSJC,2020-07-01T00:00:00.000+02:00,4268
UUWW,2020-07-01T00:00:00.000+02:00,4395
EIDW,2020-07-01T00:00:00.000+02:00,3055
EGSS,2020-07-01T00:00:00.000+02:00,3157
KOAK,2020-07-01T00:00:00.000+02:00,5259
EBMB,2020-07-01T00:00:00.000+02:00,498
YPPH,2020-07-01T00:00:00.000+02:00,3485
CYVR,2020-07-01T00:00:00.000+02:00,3674
EFHK,2020-07-01T00:00:00.000+02:00,1970
KLDJ,2020-07-01T00:00:00.000+02:00,578
KSTL,2020-07-01T00:00:00.000+02:00,5398
KSNA,2020-07-01T00:00:00.000+02:00,6526
KRDU,2020-07-01T00:00:00.000+02:00,4286
KBWI,2020-07-01T00:00:00.000+02:00,6972
RJFF,2020-07-01T00:00:00.000+02:00,2806
LEBL,2020-07-01T00:00:00.000+02:00,4480
EDDH,2020-07-01T00:00:00.000+02:00,2324
EGCC,2020-07-01T00:00:00.000+02:00,1964
KIND,2020-07-01T00:00:00.000+02:00,5695
OMAA,2020-07-01T00:00:00.000+02:00,927
SBBR,2020-07-01T00:00:00.000+02:00,1235
LIML,2020-07-01T00:00:00.000+02:00,926
KTEB,2020-07-01T00:00:00.000+02:00,2559
EPWA,2020-07-01T00:00:00.000+02:00,3103
KHOU,2020-07-01T00:00:00.000+02:00,3670
EGGW,2020-07-01T00:00:00.000+02:00,2869
KMDW,2020-07-01T00:00:00.000+02:00,7077
OBBI,2020-07-01T00:00:00.000+02:00,1020
KPDX,2020-07-01T00:00:00.000+02:00,5163
PANC,2020-07-01T00:00:00.000+02:00,8323
LKPR,2020-07-01T00:00:00.000+02:00,1906
KAPA,2020-07-01T00:00:00.000+02:00,6360
