destination,month,count
KDFW,2021-12-01T00:00:00.000+01:00,26482
KORD,2021-12-01T00:00:00.000+01:00,30551
VIDP,2021-12-01T00:00:00.000+01:00,18180
OMDB,2021-12-01T00:00:00.000+01:00,686
KLAX,2021-12-01T00:00:00.000+01:00,22669
KLAS,2021-12-01T00:00:00.000+01:00,19656
EDDF,2021-12-01T00:00:00.000+01:00,13606
EGLL,2021-12-01T00:00:00.000+01:00,12467
KJFK,2021-12-01T00:00:00.000+01:00,17144
WMKK,2021-12-01T00:00:00.000+01:00,859
LFPG,2021-12-01T00:00:00.000+01:00,14405
LEMD,2021-12-01T00:00:00.000+01:00,12304
KDEN,2021-12-01T00:00:00.000+01:00,24551
KSFO,2021-12-01T00:00:00.000+01:00,13178
YSSY,2021-12-01T00:00:00.000+01:00,8730
KMIA,2021-12-01T00:00:00.000+01:00,20546
UUEE,2021-12-01T00:00:00.000+01:00,10634
EHAM,2021-12-01T00:00:00.000+01:00,14959
KPHX,2021-12-01T00:00:00.000+01:00,18357
EDDM,2021-12-01T00:00:00.000+01:00,9252
KSEA,2021-12-01T00:00:00.000+01:00,14470
LTBA,2021-12-01T00:00:00.000+01:00,2463
KBOS,2021-12-01T00:00:00.000+01:00,13774
RPLL,2021-12-01T00:00:00.000+01:00,7106
LIRF,2021-12-01T00:00:00.000+01:00,6296
SBGR,2021-12-01T00:00:00.000+01:00,1425
YMML,2021-12-01T00:00:00.000+01:00,6220
CYYZ,2021-12-01T00:00:00.000+01:00,12926
RCTP,2021-12-01T00:00:00.000+01:00,3322
VOBL,2021-12-01T00:00:00.000+01:00,8215
KLGA,2021-12-01T00:00:00.000+01:00,14046
KIAH,2021-12-01T00:00:00.000+01:00,118
KFLL,2021-12-01T00:00:00.000+01:00,10645
KMSP,2021-12-01T00:00:00.000+01:00,12926
OTHH,2021-12-01T00:00:00.000+01:00,7860
LSZH,2021-12-01T00:00:00.000+01:00,6723
YBBN,2021-12-01T00:00:00.000+01:00,6073
LTFJ,2021-12-01T00:00:00.000+01:00,7953
ESSA,2021-12-01T00:00:00.000+01:00,5503
KPHL,2021-12-01T00:00:00.000+01:00,11200
KEWR,2021-12-01T00:00:00.000+01:00,18636
EKCH,2021-12-01T00:00:00.000+01:00,6741
RJBB,2021-12-01T00:00:00.000+01:00,3153
LOWW,2021-12-01T00:00:00.000+01:00,6193
KHHR,2021-12-01T00:00:00.000+01:00,2080
EGKK,2021-12-01T00:00:00.000+01:00,2181
WIII,2021-12-01T00:00:00.000+01:00,1181
VHHH,2021-12-01T00:00:00.000+01:00,3666
LFPO,2021-12-01T00:00:00.000+01:00,6377
KSAN,2021-12-01T00:00:00.000+01:00,7143
VOMM,2021-12-01T00:00:00.000+01:00,5012
KIAD,2021-12-01T00:00:00.000+01:00,11687
NZAA,2021-12-01T00:00:00.000+01:00,4036
KDTW,2021-12-01T00:00:00.000+01:00,11501
KCLT,2021-12-01T00:00:00.000+01:00,21814
EDDT,2021-12-01T00:00:00.000+01:00,27
RJTK,2021-12-01T00:00:00.000+01:00,27
KDCA,2021-12-01T00:00:00.000+01:00,12187
KDAL,2021-12-01T00:00:00.000+01:00,9050
SBSP,2021-12-01T00:00:00.000+01:00,5584
UUDD,2021-12-01T00:00:00.000+01:00,6030
LIMC,2021-12-01T00:00:00.000+01:00,6764
RJTT,2021-12-01T00:00:00.000+01:00,15826
EDDL,2021-12-01T00:00:00.000+01:00,4006
LSGG,2021-12-01T00:00:00.000+01:00,5369
LPPT,2021-12-01T00:00:00.000+01:00,4919
KSJC,2021-12-01T00:00:00.000+01:00,5651
UUWW,2021-12-01T00:00:00.000+01:00,5981
EIDW,2021-12-01T00:00:00.000+01:00,6571
EGSS,2021-12-01T00:00:00.000+01:00,5801
KOAK,2021-12-01T00:00:00.000+01:00,6735
EBMB,2021-12-01T00:00:00.000+01:00,4925
YPPH,2021-12-01T00:00:00.000+01:00,4349
CYVR,2021-12-01T00:00:00.000+01:00,7506
EFHK,2021-12-01T00:00:00.000+01:00,5052
KLDJ,2021-12-01T00:00:00.000+01:00,759
KSTL,2021-12-01T00:00:00.000+01:00,6249
KSNA,2021-12-01T00:00:00.000+01:00,7826
KRDU,2021-12-01T00:00:00.000+01:00,7028
KBWI,2021-12-01T00:00:00.000+01:00,8950
RJFF,2021-12-01T00:00:00.000+01:00,4008
LEBL,2021-12-01T00:00:00.000+01:00,9620
EDDH,2021-12-01T00:00:00.000+01:00,3393
EGCC,2021-12-01T00:00:00.000+01:00,4651
KIND,2021-12-01T00:00:00.000+01:00,8396
OMAA,2021-12-01T00:00:00.000+01:00,1453
SBBR,2021-12-01T00:00:00.000+01:00,3091
LIML,2021-12-01T00:00:00.000+01:00,3678
KTEB,2021-12-01T00:00:00.000+01:00,7629
EPWA,2021-12-01T00:00:00.000+01:00,5198
KHOU,2021-12-01T00:00:00.000+01:00,7454
EGGW,2021-12-01T00:00:00.000+01:00,3979
KMDW,2021-12-01T00:00:00.000+01:00,7504
OBBI,2021-12-01T00:00:00.000+01:00,2150
KPDX,2021-12-01T00:00:00.000+01:00,4296
PANC,2021-12-01T00:00:00.000+01:00,8000
LKPR,2021-12-01T00:00:00.000+01:00,3284
KAPA,2021-12-01T00:00:00.000+01:00,6036
