index,destination,month,count
0,KDFW,2019-10-01,27901
1,KORD,2019-10-01,37969
2,VIDP,2019-10-01,17522
3,OMDB,2019-10-01,16294
4,KLAX,2019-10-01,24395
5,KLAS,2019-10-01,22303
6,EDDF,2019-10-01,19266
7,EGLL,2019-10-01,20123
8,KJFK,2019-10-01,17854
9,WMKK,2019-10-01,16936
10,LFPG,2019-10-01,20180
11,LEMD,2019-10-01,17059
12,KDEN,2019-10-01,9648
13,KSFO,2019-10-01,18900
14,YSSY,2019-10-01,15129
15,KMIA,2019-10-01,12494
16,UUEE,2019-10-01,15064
17,VABB,2019-10-01,11302
18,EHAM,2019-10-01,18868
19,KPHX,2019-10-01,16069
20,EDDM,2019-10-01,16930
21,KSEA,2019-10-01,17586
22,LTBA,2019-10-01,648
23,KBOS,2019-10-01,17562
24,RPLL,2019-10-01,10928
25,LIRF,2019-10-01,12888
26,SBGR,2019-10-01,9114
27,YMML,2019-10-01,10537
28,CYYZ,2019-10-01,14778
29,RCTP,2019-10-01,9155
30,VOBL,2019-10-01,9226
31,KLGA,2019-10-01,15003
32,KIAH,2019-10-01,17704
33,KFLL,2019-10-01,8837
34,KMSP,2019-10-01,12984
35,OTHH,2019-10-01,9668
36,LSZH,2019-10-01,10556
37,YBBN,2019-10-01,9348
38,LTFJ,2019-10-01,10045
39,ESSA,2019-10-01,9753
41,KPHL,2019-10-01,16032
42,KEWR,2019-10-01,16747
43,EKCH,2019-10-01,10767
44,RJBB,2019-10-01,7913
45,LOWW,2019-10-01,10885
46,KHHR,2019-10-01,4552
47,EGKK,2019-10-01,11343
49,VHHH,2019-10-01,16919
50,LFPO,2019-10-01,7619
51,KSAN,2019-10-01,9499
52,VOMM,2019-10-01,6731
53,KIAD,2019-10-01,12349
54,NZAA,2019-10-01,7043
55,KDTW,2019-10-01,27
56,KCLT,2019-10-01,10559
57,EDDT,2019-10-01,8130
58,RJTK,2019-10-01,5282
59,KDCA,2019-10-01,11872
60,KDAL,2019-10-01,9384
61,SBSP,2019-10-01,6367
62,UUDD,2019-10-01,7571
63,LIMC,2019-10-01,6745
64,RJTT,2019-10-01,4260
65,EDDL,2019-10-01,8870
66,LSGG,2019-10-01,6640
67,LPPT,2019-10-01,4752
68,KSJC,2019-10-01,8418
69,UUWW,2019-10-01,7182
70,EIDW,2019-10-01,9894
71,EGSS,2019-10-01,8334
72,KOAK,2019-10-01,7816
73,EBMB,2019-10-01,4058
74,YPPH,2019-10-01,5883
75,CYVR,2019-10-01,8315
76,EFHK,2019-10-01,7717
77,KLDJ,2019-10-01,3598
78,KSTL,2019-10-01,7918
79,KSNA,2019-10-01,7659
80,KRDU,2019-10-01,8215
81,KBWI,2019-10-01,10069
82,RJFF,2019-10-01,4963
83,LEBL,2019-10-01,8046
84,EDDH,2019-10-01,6283
85,EGCC,2019-10-01,6951
86,KIND,2019-10-01,8007
87,OMAA,2019-10-01,3255
88,SBBR,2019-10-01,3969
89,LIML,2019-10-01,810
90,KTEB,2019-10-01,7025
91,EPWA,2019-10-01,5626
92,KHOU,2019-10-01,7605
93,EGGW,2019-10-01,6136
94,KMDW,2019-10-01,9791
95,OBBI,2019-10-01,3955
96,KPDX,2019-10-01,7374
97,PANC,2019-10-01,6388
98,LKPR,2019-10-01,3282
99,KAPA,2019-10-01,5000
