destination,month,count
KDFW,2020-04-01T00:00:00.000+02:00,11794
KORD,2020-04-01T00:00:00.000+02:00,12046
VIDP,2020-04-01T00:00:00.000+02:00,538
OMDB,2020-04-01T00:00:00.000+02:00,1925
KLAX,2020-04-01T00:00:00.000+02:00,7097
KLAS,2020-04-01T00:00:00.000+02:00,4628
EDDF,2020-04-01T00:00:00.000+02:00,3120
EGLL,2020-04-01T00:00:00.000+02:00,2590
KJFK,2020-04-01T00:00:00.000+02:00,3039
WMKK,2020-04-01T00:00:00.000+02:00,1079
LFPG,2020-04-01T00:00:00.000+02:00,2017
LEMD,2020-04-01T00:00:00.000+02:00,979
KDEN,2020-04-01T00:00:00.000+02:00,4398
KSFO,2020-04-01T00:00:00.000+02:00,3823
YSSY,2020-04-01T00:00:00.000+02:00,2108
KMIA,2020-04-01T00:00:00.000+02:00,4202
UUEE,2020-04-01T00:00:00.000+02:00,2024
VABB,2020-04-01T00:00:00.000+02:00,468
EHAM,2020-04-01T00:00:00.000+02:00,1935
KPHX,2020-04-01T00:00:00.000+02:00,7836
EDDM,2020-04-01T00:00:00.000+02:00,775
KSEA,2020-04-01T00:00:00.000+02:00,5958
LTBA,2020-04-01T00:00:00.000+02:00,1115
KBOS,2020-04-01T00:00:00.000+02:00,3838
RPLL,2020-04-01T00:00:00.000+02:00,819
LIRF,2020-04-01T00:00:00.000+02:00,1116
SBGR,2020-04-01T00:00:00.000+02:00,1174
YMML,2020-04-01T00:00:00.000+02:00,1203
CYYZ,2020-04-01T00:00:00.000+02:00,2607
RCTP,2020-04-01T00:00:00.000+02:00,2705
VOBL,2020-04-01T00:00:00.000+02:00,249
KLGA,2020-04-01T00:00:00.000+02:00,1164
KIAH,2020-04-01T00:00:00.000+02:00,4694
KFLL,2020-04-01T00:00:00.000+02:00,2196
KMSP,2020-04-01T00:00:00.000+02:00,2884
OTHH,2020-04-01T00:00:00.000+02:00,2448
LSZH,2020-04-01T00:00:00.000+02:00,705
YBBN,2020-04-01T00:00:00.000+02:00,2233
LTFJ,2020-04-01T00:00:00.000+02:00,8
ESSA,2020-04-01T00:00:00.000+02:00,925
KPHL,2020-04-01T00:00:00.000+02:00,5823
KEWR,2020-04-01T00:00:00.000+02:00,2251
EKCH,2020-04-01T00:00:00.000+02:00,645
RJBB,2020-04-01T00:00:00.000+02:00,1937
LOWW,2020-04-01T00:00:00.000+02:00,623
KHHR,2020-04-01T00:00:00.000+02:00,1627
EGKK,2020-04-01T00:00:00.000+02:00,142
WIII,2020-04-01T00:00:00.000+02:00,4
VHHH,2020-04-01T00:00:00.000+02:00,4994
LFPO,2020-04-01T00:00:00.000+02:00,15
KSAN,2020-04-01T00:00:00.000+02:00,2882
VOMM,2020-04-01T00:00:00.000+02:00,147
KIAD,2020-04-01T00:00:00.000+02:00,3494
NZAA,2020-04-01T00:00:00.000+02:00,919
KDTW,2020-04-01T00:00:00.000+02:00,3891
KCLT,2020-04-01T00:00:00.000+02:00,5223
EDDT,2020-04-01T00:00:00.000+02:00,350
RJTK,2020-04-01T00:00:00.000+02:00,430
KDCA,2020-04-01T00:00:00.000+02:00,3148
KDAL,2020-04-01T00:00:00.000+02:00,3387
SBSP,2020-04-01T00:00:00.000+02:00,358
UUDD,2020-04-01T00:00:00.000+02:00,1226
LIMC,2020-04-01T00:00:00.000+02:00,980
RJTT,2020-04-01T00:00:00.000+02:00,4917
EDDL,2020-04-01T00:00:00.000+02:00,500
LSGG,2020-04-01T00:00:00.000+02:00,398
LPPT,2020-04-01T00:00:00.000+02:00,363
KSJC,2020-04-01T00:00:00.000+02:00,2094
UUWW,2020-04-01T00:00:00.000+02:00,775
EIDW,2020-04-01T00:00:00.000+02:00,960
EGSS,2020-04-01T00:00:00.000+02:00,799
KOAK,2020-04-01T00:00:00.000+02:00,2871
EBMB,2020-04-01T00:00:00.000+02:00,142
YPPH,2020-04-01T00:00:00.000+02:00,2847
CYVR,2020-04-01T00:00:00.000+02:00,1810
EFHK,2020-04-01T00:00:00.000+02:00,696
KLDJ,2020-04-01T00:00:00.000+02:00,245
KSTL,2020-04-01T00:00:00.000+02:00,3035
KSNA,2020-04-01T00:00:00.000+02:00,2924
KRDU,2020-04-01T00:00:00.000+02:00,2409
KBWI,2020-04-01T00:00:00.000+02:00,4195
RJFF,2020-04-01T00:00:00.000+02:00,1829
LEBL,2020-04-01T00:00:00.000+02:00,643
EDDH,2020-04-01T00:00:00.000+02:00,398
EGCC,2020-04-01T00:00:00.000+02:00,241
KIND,2020-04-01T00:00:00.000+02:00,965
OMAA,2020-04-01T00:00:00.000+02:00,311
SBBR,2020-04-01T00:00:00.000+02:00,367
LIML,2020-04-01T00:00:00.000+02:00,80
KTEB,2020-04-01T00:00:00.000+02:00,650
EPWA,2020-04-01T00:00:00.000+02:00,384
KHOU,2020-04-01T00:00:00.000+02:00,2433
EGGW,2020-04-01T00:00:00.000+02:00,348
KMDW,2020-04-01T00:00:00.000+02:00,3388
OBBI,2020-04-01T00:00:00.000+02:00,781
KPDX,2020-04-01T00:00:00.000+02:00,2886
PANC,2020-04-01T00:00:00.000+02:00,5699
LKPR,2020-04-01T00:00:00.000+02:00,344
KAPA,2020-04-01T00:00:00.000+02:00,2136
