index,destination,month,count
0,KDFW,2019-08-01,26773
1,KORD,2019-08-01,30951
2,VIDP,2019-08-01,17978
3,OMDB,2019-08-01,16500
4,KLAX,2019-08-01,26835
5,KLAS,2019-08-01,20801
6,EDDF,2019-08-01,18938
7,EGLL,2019-08-01,20139
8,KJFK,2019-08-01,18906
9,WMKK,2019-08-01,16919
10,LFPG,2019-08-01,20815
11,LEMD,2019-08-01,16947
12,KDEN,2019-08-01,9006
13,KSFO,2019-08-01,20092
14,YSSY,2019-08-01,14137
15,KMIA,2019-08-01,71
16,UUEE,2019-08-01,16622
17,VABB,2019-08-01,12798
18,EHAM,2019-08-01,16066
19,KPHX,2019-08-01,16498
20,EDDM,2019-08-01,15935
21,KSEA,2019-08-01,19282
22,LTBA,2019-08-01,487
23,KBOS,2019-08-01,17450
24,RPLL,2019-08-01,7314
25,LIRF,2019-08-01,14557
26,SBGR,2019-08-01,7775
27,YMML,2019-08-01,9952
28,CYYZ,2019-08-01,13573
29,RCTP,2019-08-01,11095
30,VOBL,2019-08-01,8921
31,KLGA,2019-08-01,14434
32,KIAH,2019-08-01,1552
33,KFLL,2019-08-01,929
34,KMSP,2019-08-01,16697
35,OTHH,2019-08-01,9786
36,LSZH,2019-08-01,10610
37,YBBN,2019-08-01,9143
38,LTFJ,2019-08-01,10758
39,ESSA,2019-08-01,9210
41,KPHL,2019-08-01,15250
42,KEWR,2019-08-01,13359
43,EKCH,2019-08-01,10535
44,RJBB,2019-08-01,8703
45,LOWW,2019-08-01,10728
46,KHHR,2019-08-01,3599
47,EGKK,2019-08-01,11625
49,VHHH,2019-08-01,16360
50,LFPO,2019-08-01,6107
51,KSAN,2019-08-01,9825
52,VOMM,2019-08-01,6441
53,KIAD,2019-08-01,10452
54,NZAA,2019-08-01,6111
55,KDTW,2019-08-01,10295
56,KCLT,2019-08-01,8661
57,EDDT,2019-08-01,7750
58,RJTK,2019-08-01,2176
59,KDCA,2019-08-01,10465
60,KDAL,2019-08-01,8412
61,SBSP,2019-08-01,5885
62,UUDD,2019-08-01,9143
63,LIMC,2019-08-01,8806
64,RJTT,2019-08-01,3699
65,EDDL,2019-08-01,8417
66,LSGG,2019-08-01,6635
67,LPPT,2019-08-01,8402
68,KSJC,2019-08-01,7787
69,UUWW,2019-08-01,7988
70,EIDW,2019-08-01,9632
71,EGSS,2019-08-01,8698
72,KOAK,2019-08-01,7533
73,EBMB,2019-08-01,6669
74,YPPH,2019-08-01,5461
75,CYVR,2019-08-01,7845
76,EFHK,2019-08-01,7131
77,KLDJ,2019-08-01,6005
78,KSTL,2019-08-01,7247
79,KSNA,2019-08-01,7557
80,KRDU,2019-08-01,7458
81,KBWI,2019-08-01,10321
82,RJFF,2019-08-01,4989
83,LEBL,2019-08-01,9996
84,EDDH,2019-08-01,6005
85,EGCC,2019-08-01,8093
86,KIND,2019-08-01,7286
87,OMAA,2019-08-01,2611
88,SBBR,2019-08-01,3570
89,LIML,2019-08-01,47
90,KTEB,2019-08-01,5028
91,EPWA,2019-08-01,5448
92,KHOU,2019-08-01,6785
93,EGGW,2019-08-01,6013
94,KMDW,2019-08-01,8928
95,OBBI,2019-08-01,4085
96,KPDX,2019-08-01,8996
97,PANC,2019-08-01,8794
98,LKPR,2019-08-01,101
99,KAPA,2019-08-01,5791
