index,destination,month,count
0,KDFW,2019-03-01,23030
1,KORD,2019-03-01,27603
2,VIDP,2019-03-01,16867
3,OMDB,2019-03-01,16626
4,KLAX,2019-03-01,9993
5,KLAS,2019-03-01,17751
6,EDDF,2019-03-01,16773
7,EGLL,2019-03-01,19579
8,KJFK,2019-03-01,16732
9,WMKK,2019-03-01,16414
10,LFPG,2019-03-01,17558
11,LEMD,2019-03-01,15100
12,KDEN,2019-03-01,18002
13,KSFO,2019-03-01,16393
14,YSSY,2019-03-01,14572
15,KMIA,2019-03-01,4918
16,UUEE,2019-03-01,14176
17,VABB,2019-03-01,9814
18,EHAM,2019-03-01,14871
19,KPHX,2019-03-01,15688
20,EDDM,2019-03-01,13928
21,KSEA,2019-03-01,13556
22,LTBA,2019-03-01,10229
23,KBOS,2019-03-01,6375
24,RPLL,2019-03-01,10764
25,LIRF,2019-03-01,11505
26,SBGR,2019-03-01,10011
27,YMML,2019-03-01,10244
28,CYYZ,2019-03-01,11072
29,RCTP,2019-03-01,7175
30,VOBL,2019-03-01,8760
31,KLGA,2019-03-01,11631
32,KIAH,2019-03-01,4702
33,KFLL,2019-03-01,4979
34,KMSP,2019-03-01,10123
35,OTHH,2019-03-01,9195
36,LSZH,2019-03-01,9157
37,YBBN,2019-03-01,8822
38,LTFJ,2019-03-01,9259
39,ESSA,2019-03-01,9359
40,MMMX,2019-03-01,8115
41,KPHL,2019-03-01,11302
42,KEWR,2019-03-01,10997
43,EKCH,2019-03-01,9936
44,RJBB,2019-03-01,8103
45,LOWW,2019-03-01,9247
46,KHHR,2019-03-01,14400
47,EGKK,2019-03-01,9810
48,WIII,2019-03-01,4805
49,VHHH,2019-03-01,8504
50,LFPO,2019-03-01,7283
51,KSAN,2019-03-01,7290
52,VOMM,2019-03-01,6298
53,KIAD,2019-03-01,8732
54,NZAA,2019-03-01,7055
55,KDTW,2019-03-01,3346
56,KCLT,2019-03-01,8565
57,EDDT,2019-03-01,7644
58,RJTK,2019-03-01,5520
59,KDCA,2019-03-01,8067
60,KDAL,2019-03-01,7463
61,SBSP,2019-03-01,6232
62,UUDD,2019-03-01,6604
63,LIMC,2019-03-01,7220
64,RJTT,2019-03-01,4722
65,EDDL,2019-03-01,7135
66,LSGG,2019-03-01,7358
67,LPPT,2019-03-01,6434
68,KSJC,2019-03-01,6329
69,UUWW,2019-03-01,5969
70,EIDW,2019-03-01,8085
71,EGSS,2019-03-01,7316
72,KOAK,2019-03-01,6159
73,EBMB,2019-03-01,6745
74,YPPH,2019-03-01,5372
75,CYVR,2019-03-01,5800
76,EFHK,2019-03-01,5724
77,KLDJ,2019-03-01,4888
78,KSTL,2019-03-01,5949
79,KSNA,2019-03-01,5657
80,KRDU,2019-03-01,5719
81,KBWI,2019-03-01,5862
82,RJFF,2019-03-01,4917
83,LEBL,2019-03-01,9267
84,EDDH,2019-03-01,5447
85,EGCC,2019-03-01,5823
86,KIND,2019-03-01,5951
87,OMAA,2019-03-01,445
88,SBBR,2019-03-01,4215
89,LIML,2019-03-01,4175
90,KTEB,2019-03-01,5052
91,EPWA,2019-03-01,4145
92,KHOU,2019-03-01,6019
93,EGGW,2019-03-01,5046
94,KMDW,2019-03-01,7032
95,OBBI,2019-03-01,2041
96,KPDX,2019-03-01,3271
97,PANC,2019-03-01,5075
98,LKPR,2019-03-01,3014
99,KAPA,2019-03-01,4162
