destination,month,count
KDFW,2021-11-01T00:00:00.000+01:00,25035
KORD,2021-11-01T00:00:00.000+01:00,29357
VIDP,2021-11-01T00:00:00.000+01:00,16495
OMDB,2021-11-01T00:00:00.000+01:00,1604
KLAX,2021-11-01T00:00:00.000+01:00,21220
KLAS,2021-11-01T00:00:00.000+01:00,19419
EDDF,2021-11-01T00:00:00.000+01:00,13489
EGLL,2021-11-01T00:00:00.000+01:00,11565
KJFK,2021-11-01T00:00:00.000+01:00,15874
WMKK,2021-11-01T00:00:00.000+01:00,869
LFPG,2021-11-01T00:00:00.000+01:00,13038
LEMD,2021-11-01T00:00:00.000+01:00,11314
KDEN,2021-11-01T00:00:00.000+01:00,23229
KSFO,2021-11-01T00:00:00.000+01:00,12565
YSSY,2021-11-01T00:00:00.000+01:00,4955
KMIA,2021-11-01T00:00:00.000+01:00,16689
UUEE,2021-11-01T00:00:00.000+01:00,9920
EHAM,2021-11-01T00:00:00.000+01:00,13711
KPHX,2021-11-01T00:00:00.000+01:00,17899
EDDM,2021-11-01T00:00:00.000+01:00,9063
KSEA,2021-11-01T00:00:00.000+01:00,14780
LTBA,2021-11-01T00:00:00.000+01:00,2448
KBOS,2021-11-01T00:00:00.000+01:00,13644
RPLL,2021-11-01T00:00:00.000+01:00,5456
LIRF,2021-11-01T00:00:00.000+01:00,6064
SBGR,2021-11-01T00:00:00.000+01:00,2205
YMML,2021-11-01T00:00:00.000+01:00,2763
CYYZ,2021-11-01T00:00:00.000+01:00,11068
RCTP,2021-11-01T00:00:00.000+01:00,3182
VOBL,2021-11-01T00:00:00.000+01:00,7484
KLGA,2021-11-01T00:00:00.000+01:00,13485
KIAH,2021-11-01T00:00:00.000+01:00,156
KFLL,2021-11-01T00:00:00.000+01:00,7617
KMSP,2021-11-01T00:00:00.000+01:00,12436
OTHH,2021-11-01T00:00:00.000+01:00,6927
LSZH,2021-11-01T00:00:00.000+01:00,6228
YBBN,2021-11-01T00:00:00.000+01:00,4387
LTFJ,2021-11-01T00:00:00.000+01:00,7893
ESSA,2021-11-01T00:00:00.000+01:00,5204
KPHL,2021-11-01T00:00:00.000+01:00,10624
KEWR,2021-11-01T00:00:00.000+01:00,17510
EKCH,2021-11-01T00:00:00.000+01:00,6696
RJBB,2021-11-01T00:00:00.000+01:00,2821
LOWW,2021-11-01T00:00:00.000+01:00,6531
KHHR,2021-11-01T00:00:00.000+01:00,2270
EGKK,2021-11-01T00:00:00.000+01:00,731
VHHH,2021-11-01T00:00:00.000+01:00,3872
LFPO,2021-11-01T00:00:00.000+01:00,6192
KSAN,2021-11-01T00:00:00.000+01:00,7023
VOMM,2021-11-01T00:00:00.000+01:00,4450
KIAD,2021-11-01T00:00:00.000+01:00,11401
NZAA,2021-11-01T00:00:00.000+01:00,1571
KDTW,2021-11-01T00:00:00.000+01:00,11855
KCLT,2021-11-01T00:00:00.000+01:00,20407
EDDT,2021-11-01T00:00:00.000+01:00,61
RJTK,2021-11-01T00:00:00.000+01:00,81
KDCA,2021-11-01T00:00:00.000+01:00,11487
KDAL,2021-11-01T00:00:00.000+01:00,9061
SBSP,2021-11-01T00:00:00.000+01:00,4748
UUDD,2021-11-01T00:00:00.000+01:00,5674
LIMC,2021-11-01T00:00:00.000+01:00,6102
RJTT,2021-11-01T00:00:00.000+01:00,13229
EDDL,2021-11-01T00:00:00.000+01:00,4472
LSGG,2021-11-01T00:00:00.000+01:00,4465
LPPT,2021-11-01T00:00:00.000+01:00,6577
KSJC,2021-11-01T00:00:00.000+01:00,5904
UUWW,2021-11-01T00:00:00.000+01:00,5506
EIDW,2021-11-01T00:00:00.000+01:00,5911
EGSS,2021-11-01T00:00:00.000+01:00,5360
KOAK,2021-11-01T00:00:00.000+01:00,6264
EBMB,2021-11-01T00:00:00.000+01:00,4447
YPPH,2021-11-01T00:00:00.000+01:00,4294
CYVR,2021-11-01T00:00:00.000+01:00,6700
EFHK,2021-11-01T00:00:00.000+01:00,4250
KLDJ,2021-11-01T00:00:00.000+01:00,832
KSTL,2021-11-01T00:00:00.000+01:00,6097
KSNA,2021-11-01T00:00:00.000+01:00,7959
KRDU,2021-11-01T00:00:00.000+01:00,7464
KBWI,2021-11-01T00:00:00.000+01:00,8740
RJFF,2021-11-01T00:00:00.000+01:00,3585
LEBL,2021-11-01T00:00:00.000+01:00,8568
EDDH,2021-11-01T00:00:00.000+01:00,3528
EGCC,2021-11-01T00:00:00.000+01:00,4005
KIND,2021-11-01T00:00:00.000+01:00,7872
OMAA,2021-11-01T00:00:00.000+01:00,1053
SBBR,2021-11-01T00:00:00.000+01:00,1943
LIML,2021-11-01T00:00:00.000+01:00,3568
KTEB,2021-11-01T00:00:00.000+01:00,7733
EPWA,2021-11-01T00:00:00.000+01:00,4774
KHOU,2021-11-01T00:00:00.000+01:00,7515
EGGW,2021-11-01T00:00:00.000+01:00,3354
KMDW,2021-11-01T00:00:00.000+01:00,7627
OBBI,2021-11-01T00:00:00.000+01:00,2104
KPDX,2021-11-01T00:00:00.000+01:00,4201
PANC,2021-11-01T00:00:00.000+01:00,7780
LKPR,2021-11-01T00:00:00.000+01:00,3084
KAPA,2021-11-01T00:00:00.000+01:00,6077
